role,form,smoothstep,transition_variable,v0_mps,v1_mps,rel_weight,util_k,launch_activation,k_launch_nm,k_unconstrained_nm,k_gate_min_nm,primary_rmse_nm,validation_non_authoritative_rmse_nm,open_floor_validation_rmse_nm,high_transition_rmse_nm,low_speed_yaw_rmse_nm,straightish_rmse_nm,in_place_left_command,in_place_right_command,in_place_extra_opposing_nm,score
additive_double_count_diagnostic,additive_no_subtract,cubic,speed_hypot,0.0,0.08,0.75,0.55,cubic,0.05771872812904492,0.019483239269347634,0.05771872812904492,0.018652683212654998,0.026838820456558724,0.010330963921653077,0.0454022990381,0.03404231575353083,0.012720238464529202,0.6,-0.6,0.05771872812904492,0.04151508522797523
additive_double_count_diagnostic,additive_no_subtract,quintic,speed_hypot,0.0,0.08,1.0,0.55,quintic,0.05771872812904492,0.018414478293062458,0.05771872812904492,0.018701783887241114,0.02682510296599337,0.010597231406934327,0.0454022990381,0.03380575953535482,0.01285850541610841,0.6,-0.6,0.05771872812904492,0.04151609793978571
additive_double_count_diagnostic,additive_no_subtract,cubic,speed_hypot,0.0,0.08,0.75,0.55,quintic,0.05771872812904492,0.018810937156896038,0.05771872812904492,0.01869952224959802,0.02689278796268291,0.010530305441928612,0.0454022990381,0.03412859591790654,0.012800616082603808,0.6,-0.6,0.05771872812904492,0.04158310444518232
additive_double_count_diagnostic,additive_no_subtract,quintic,speed_hypot,0.0,0.08,0.75,0.55,cubic,0.05771872812904492,0.018229654765283453,0.05771872812904492,0.018770022175797967,0.026889662138665685,0.010501159122991205,0.0454022990381,0.03417117759228386,0.012806842056322681,0.6,-0.6,0.05771872812904492,0.04160112859902508
additive_double_count_diagnostic,additive_no_subtract,quintic,speed_hypot,0.0,0.08,0.75,0.55,quintic,0.05771872812904492,0.017584882208694187,0.05771872812904492,0.018821538043271444,0.026946932041555002,0.010705726011849463,0.0454022990381,0.034265433126864385,0.012889479678203752,0.6,-0.6,0.05771872812904492,0.04167385326215643
additive_double_count_diagnostic,additive_no_subtract,cubic,speed_hypot,0.0,0.12,1.0,0.55,cubic,0.05771872812904492,0.018734746027165104,0.05771872812904492,0.018981785483567666,0.027016376738054088,0.010813508360685129,0.0454022990381,0.034538667510363476,0.012923140236456443,0.6,-0.6,0.05771872812904492,0.041791372190744386
additive_double_count_diagnostic,additive_no_subtract,cubic,speed_hypot,0.0,0.08,1.0,0.4,cubic,0.05771872812904492,0.018223127830922684,0.05771872812904492,0.018839744559845124,0.02706228697523782,0.011452924355121635,0.0454022990381,0.03409564439861292,0.013205703031255052,0.6,-0.6,0.05771872812904492,0.041794670150811356
additive_double_count_diagnostic,additive_no_subtract,cubic,speed_hypot,0.0,0.08,1.0,0.4,quintic,0.05771872812904492,0.017890027631223004,0.05771872812904492,0.018885096772337323,0.027104524413829028,0.01161764172398306,0.0454022990381,0.03414181574245203,0.013282321504886618,0.6,-0.6,0.05771872812904492,0.04185051325315023
additive_double_count_diagnostic,additive_no_subtract,cubic,speed_hypot,0.0,0.12,1.0,0.55,quintic,0.05771872812904492,0.0180898102704162,0.05771872812904492,0.019056391379709815,0.027076932142927387,0.011027526529304298,0.0454022990381,0.034640376043100884,0.01302211628004013,0.6,-0.6,0.05771872812904492,0.041874309364460335
additive_double_count_diagnostic,additive_no_subtract,quintic,speed_hypot,0.0,0.12,1.0,0.55,cubic,0.05771872812904492,0.017806767440358067,0.05771872812904492,0.01910830592816175,0.027070822901506135,0.011033046994469727,0.0454022990381,0.0347067687528864,0.013007750231175058,0.6,-0.6,0.05771872812904492,0.04188377448757466
