candidate_id,split,stage,log_parameter,measurement_dimension,parameter_field,parameter_value_kind,parameter_value,launch_command_signature,count,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,segment_count
candidate_2_stribeck,all,mixed_launch,forward_accel_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,2424.42713264,39175.0943141,6.00054335117,1.49276045018,1080,8,1
candidate_2_stribeck,all,mixed_launch,right_accel_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,654.929568936,2761.11180415,1.59304318356,0.775859087973,1088,0,1
candidate_2_stribeck,all,mixed_launch,yaw_rate_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,5168.62515441,127638.248663,10.8311849207,2.17958128787,1088,0,1
candidate_2_stribeck,all,static,yaw_rate_nis,1,none,none,,,42,6.74025246517,3.09136596503,0.271300482028,0.400602298485,42,0,1
candidate_2_stribeck,all,yaw_launch,yaw_rate_nis,1,drive_command_bin,logged_drive_command_bin,-0.7,"pair=-0.7,0.7;mag=0.7",425,45845.2113956,12076894.4921,168.571119514,10.3861005982,425,0,1
candidate_2_stribeck,held_out,yaw_launch,yaw_rate_nis,1,drive_command_bin,logged_drive_command_bin,-0.7,"pair=-0.7,0.7;mag=0.7",425,45845.2113956,12076894.4921,168.571119514,10.3861005982,425,0,1
candidate_2_stribeck,train,SEC_10_STATIC,forward_accel_nis,1,none,none,,,1559,59.3902943124,45.240714406,0.170349816302,0.195179715729,1559,0,1
candidate_2_stribeck,train,SEC_10_STATIC,right_accel_nis,1,none,none,,,1559,50.9589783408,56.6966374848,0.190702151971,0.180795367583,1559,0,1
candidate_2_stribeck,train,SEC_10_STATIC,yaw_rate_nis,1,none,none,,,1559,1789.98941145,12633.4151364,2.8466713213,1.07152466755,1559,0,1
candidate_2_stribeck,train,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=0.25,0.25;mag=0.25;linear=0;yaw=0",347,825.05362213,12368.2245735,5.97020087456,1.54197151221,345,2,1
candidate_2_stribeck,train,SEC_20_LAUNCH,right_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=0.25,0.25;mag=0.25;linear=0;yaw=0",347,222.56693233,550.104106827,1.25909270068,0.800876559277,347,0,1
candidate_2_stribeck,train,SEC_20_LAUNCH,yaw_rate_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=0.25,0.25;mag=0.25;linear=0;yaw=0",347,1935.31683841,38771.3594433,10.5703843039,2.36162697204,347,0,1
candidate_2_stribeck,train,SEC_30_STRAIGHT,forward_accel_nis,1,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",33126,257921.951715,42248305.691,35.7124914709,2.79035625305,31628,1498,1
candidate_2_stribeck,train,SEC_30_STRAIGHT,right_accel_nis,1,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",33126,70290.9453019,2550143.06212,8.77400290135,1.45668347399,32658,468,1
candidate_2_stribeck,train,SEC_30_STRAIGHT,yaw_rate_nis,1,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",33126,2312183.72369,7483796721.88,475.309497669,8.35461941868,33126,0,1
candidate_2_stribeck,train,SEC_50_SMOOTH,forward_accel_nis,1,smooth_speed_mps,legacy_smooth_speed_bin_mps,,,254,0.00372679825056,1.32118243555e-07,2.28068096229e-05,0.0038304613374,254,0,1
candidate_2_stribeck,train,SEC_50_SMOOTH,right_accel_nis,1,smooth_speed_mps,legacy_smooth_speed_bin_mps,,,254,0.00223986221265,5.71950227965e-08,1.50059073403e-05,0.00296957154618,254,0,1
candidate_2_stribeck,train,SEC_50_SMOOTH,yaw_rate_nis,1,smooth_speed_mps,legacy_smooth_speed_bin_mps,,,254,1.8656908272,0.0531168979993,0.0144610388861,0.0857043725672,254,0,1
candidate_2_stribeck,train,launch,yaw_rate_nis,1,drive_command_bin,logged_drive_command_bin,0.25,"pair=0.25,0.25;mag=0.25",546,403.109552219,1538.85712685,1.67881495295,0.859241458023,546,0,1
candidate_2_stribeck,train,mixed_launch,forward_accel_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,2424.42713264,39175.0943141,6.00054335117,1.49276045018,1080,8,1
candidate_2_stribeck,train,mixed_launch,right_accel_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,654.929568936,2761.11180415,1.59304318356,0.775859087973,1088,0,1
candidate_2_stribeck,train,mixed_launch,yaw_rate_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,5168.62515441,127638.248663,10.8311849207,2.17958128787,1088,0,1
candidate_2_stribeck,train,static,yaw_rate_nis,1,none,none,,,42,6.74025246517,3.09136596503,0.271300482028,0.400602298485,42,0,1
candidate_3_load_sensitive,all,SEC_10_STATIC,forward_accel_nis,1,none,none,,,1559,57.0009847691,33.0465921907,0.145592928936,0.191213311043,1559,0,1
candidate_3_load_sensitive,all,SEC_10_STATIC,right_accel_nis,1,none,none,,,1559,45.9112678209,33.859221905,0.147372153322,0.171607626763,1559,0,1
candidate_3_load_sensitive,all,SEC_10_STATIC,yaw_rate_nis,1,none,none,,,1559,3268.33552737,48902.6790959,5.60071235595,1.44790564001,1559,0,1
candidate_3_load_sensitive,all,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=0.25,0.25;mag=0.25;linear=0;yaw=0",347,913.006873805,16315.910684,6.85710693485,1.62208006231,343,4,1
