variant,interpretation,k1,delta_k,k3_radps,stribeck_speed_mps,speed_fade_mps,rel_weight,load_exponent,k2,coarse_exact_launch_rmse_nm,peak_nm,launch_max_abs_command,gate_pass,round_index
standard,meet_x1,0.001896424432506696,0.0031279199341396396,0.8435363948728888,0.0037870321489133245,3.2874825772072835,0.03812973989142954,1.0,0.005024344366646336,0.038402316051274185,0.06697480264604704,0.6459999999999998,True,1
standard,meet_x1,0.025746229383039373,0.14862497787478873,0.3962742895386042,0.0019474958124461642,0.34711577396234305,-0.06216989343664636,1.0,0.17437120725782812,0.03841873330789879,0.07924319080304391,0.646,True,1
standard,reach_x2,0.4368172060436859,0.05712123770326221,1.083171967098155,0.06385859253739284,0.4165822045331534,1.189372590177605,1.0,0.4939384437469481,0.03841922197998167,0.07112298219596881,0.6459999999999998,True,1
standard,reach_x2,0.05080682246482271,0.02098527615677876,0.022726384054820716,0.0061723886574960325,0.19227578523124267,-0.024634950722159488,1.0,0.07179209862160146,0.03844395461523002,0.06578486539532408,0.6459999999999998,True,1
standard,reach_x2,0.7361876390881886,0.0009650701336456267,0.2659582418525427,0.09765058073339766,0.0232834958970216,-0.6851165633236089,1.0,0.7371527092218343,0.03845287040257256,0.07875363963210522,0.6459999999999998,True,1
standard,meet_x1,0.00080355804158687,4.42602056955777,0.3153053210559616,0.0016649197954502393,0.016749343067641233,-0.06454203153591642,1.0,4.426824127599357,0.03847430462785085,0.08084625960646338,0.646,True,1
standard,reach_x2,1.2627892315726181,0.0016450817380758596,0.04275444278846991,0.0066309636669534084,1.394959843545466,-0.20516158224227565,1.0,1.264434313310694,0.038488533048353896,0.07885643022090609,0.6459999999999998,True,1
standard,reach_x2,0.7750757095252527,4.126355380340612,0.011647743346363705,0.007474147427185236,0.021534319320815603,0.12822238149979093,1.0,4.901431089865865,0.03860018046520556,0.0697485689436705,0.6459999999999998,True,1
standard,reach_x2,1.3221540581315383,0.000627512457942336,0.4165673709687918,0.0009344172628917835,0.035481230237907495,-0.4918685508422098,1.0,1.3227815705894805,0.03861012911771888,0.08647574398087114,0.6459999999999998,True,1
standard,reach_x2,0.012489633458809947,0.0001709516696225469,0.2825626502039491,0.03399241008295843,0.020775480586524335,0.009682752173913123,1.0,0.012660585128432494,0.03862577352165587,0.06557225037104403,0.6459999999999998,True,1
standard,meet_x1,1.4182950401826926,0.03900311273352615,0.009637325696536959,0.006936374597335604,0.016750880996282642,-0.09658878565726337,1.0,1.4572981529162188,0.038651589111995004,0.06847680077020853,0.6459999999999998,True,1
standard,reach_x2,0.10420259528408202,1.3577263612802457,0.8275750867888916,0.06321437686363363,2.840776830464611,-1.1626691310640778,1.0,1.4619289565643276,0.03869177359582505,0.07039621717336973,0.6459999999999998,True,1
standard,reach_x2,0.1483689371068067,3.7646278878808204,0.3133325443086751,0.0050783371238034836,0.02161455629238005,-1.0579482050761202,1.0,3.9129968249876272,0.03875034610699287,0.09974327580100965,0.6459999999999998,True,1
standard,reach_x2,1.475508192107215,2.0673893555004677,0.41405426489305464,0.0003490015337850409,0.03887487623600836,-1.4449920883147438,1.0,3.5428975476076827,0.03876171536083651,0.08527718703807168,0.6459999999999998,True,1
standard,reach_x2,0.2464275035754197,0.00014383139952150046,0.650908155341412,0.45797272350889795,0.046829547842585084,-2.1580252465156615,1.0,0.24657133497494121,0.038776342597270405,0.09632455253790528,0.6459999999999998,True,1
standard,reach_x2,1.2432673054528143,0.00016519088956178264,0.09573843844788338,0.0038494016433144925,3.686583302374753,0.2411510524831586,1.0,1.243432496342376,0.038790047079160624,0.1184911316861554,0.6459999999999998,True,1
standard,reach_x2,0.0014297432397863566,1.3658284756251844,1.6443383242535805,0.040055366845728864,3.250144884704948,0.3190469754438867,1.0,1.3672582188649707,0.038912149289279774,0.07903612840417748,0.6459999999999998,True,1
standard,reach_x2,0.0031440887753135813,0.0425630992653999,0.4701401240374429,0.0010079668079733693,0.047880707207047526,1.4006934618560125,1.0,0.04570718804071348,0.03894983875108289,0.07777589605854227,0.6459999999999998,True,1
standard,meet_x1,1.5468904408039816,0.008874366531946598,1.0517927709731192,0.002324875041591639,4.343433325564975,0.11954943831989251,1.0,1.5557648073359283,0.038961094366538225,0.09813909845097615,0.6459999999999998,True,1
standard,meet_x1,0.3757770849429084,0.9045961923080346,0.011429843777412357,0.010246348427229903,0.6381489103394051,0.07585176939288332,1.0,1.280373277250943,0.03897109159575351,0.06634995038246176,0.6459999999999998,True,1
standard,reach_x2,0.2628679810208368,0.04647771358587758,1.4220697336739394,0.05979258700732042,0.17083117347607957,0.4790598927218639,1.0,0.3093456946067144,0.038983428684440075,0.07329248184330164,0.6459999999999998,True,1
standard,reach_x2,0.0019807472138425896,0.08146779096156245,0.09950618800719922,0.019883216049696423,0.6018977826324112,-0.20817357656932955,1.0,0.08344853817540504,0.03898947282605166,0.06713344291315634,0.6459999999999998,True,1
standard,reach_x2,0.0001232090113229824,0.0006727028428764635,1.7627084748532884,0.052127186592125334,0.5093113470071952,0.6320488569482716,1.0,0.0007959118541994458,0.03900319933394284,0.0848679778119056,0.6459999999999998,True,1
standard,reach_x2,0.0039047213278195804,0.04946692208087884,0.4897460858690236,0.0857489127271528,0.09441543820596078,1.5137104194842985,1.0,0.05337164340869842,0.03902331652151598,0.07392862073963198,0.6459999999999998,True,1
standard,reach_x2,0.27166887678554374,0.9371995062734748,0.004852695772148843,0.00016807231356664142,0.010292855152100728,-0.2491438379091031,1.0,1.2088683830590186,0.03902387963311173,0.07392603558695175,0.6459999999999998,True,1
