vrel_knee_mps,fwd_knee_mps,bristle_velocity_mps,slide_gate_power,ridge,static_ridge,downweighted_fit_weight,anchor_extra_nm,in_place_max_abs_command,in_place_acceptance_pass,objective_with_gate,anchor_constraint_lagrange,objective_score,validation_objective_rb_corrected_rmse_nm,validation_objective_rb_baseline_rmse_nm,primary_rb_corrected_rmse_nm,open_fit_rb_corrected_rmse_nm,straight_rb_corrected_rmse_nm,high_forward_rb_corrected_rmse_nm,low_launch_rb_corrected_rmse_nm
0.06,0.7,0.012,4.0,0.03,0.0,0.0,0.06501335920678508,0.6420083528673199,True,0.0467627987100126,0.0,0.0467627987100126,0.0467627987100126,0.051393686833940286,0.035068520115762794,0.04639572020316812,0.010437577810760847,0.02851787944150881,0.0844886025078917
0.06,0.7,0.012,4.0,0.01,0.0,0.0,0.06501335920678508,0.6420084236808369,True,0.04676280175977778,0.0,0.04676280175977778,0.04676280175977778,0.051393686833940286,0.03506852057200547,0.046395665819191786,0.010437561599525882,0.028517837021004196,0.08448860158732821
0.06,0.7,0.012,4.0,0.003,0.0,0.0,0.06501335920678508,0.6420084484689256,True,0.0467628028275039,0.0,0.0467628028275039,0.0467628028275039,0.051393686833940286,0.03506852073191423,0.046395646782522976,0.01043755592570566,0.028517822172246417,0.084488601265233
0.08,0.7,0.012,4.0,0.1,0.0,0.0,0.06501335920678508,0.6428273616920623,True,0.04694229621706717,0.0,0.04694229621706717,0.04694229621706717,0.051393686833940286,0.03515792857310855,0.046635907333538756,0.010448346771601719,0.028444086758008184,0.08468496756397675
0.08,0.7,0.012,4.0,0.03,0.0,0.0,0.06501335920678508,0.6428276268505659,True,0.046942301838397,0.0,0.046942301838397,0.046942301838397,0.051393686833940286,0.03515793321003872,0.04663575317766233,0.010448281961084339,0.02844392682638829,0.08468496814348325
0.08,0.7,0.012,4.0,0.01,0.0,0.0,0.06501335920678508,0.6428277026450384,True,0.04694230344658113,0.0,0.04694230344658113,0.04694230344658113,0.051393686833940286,0.03515793453740951,0.04663570911443151,0.010448263443389158,0.028443881115563632,0.08468496831017192
0.08,0.7,0.012,4.0,0.003,0.0,0.0,0.06501335920678508,0.64282772917677,True,0.04694230400966517,0.0,0.04694230400966517,0.04694230400966517,0.051393686833940286,0.03515793500225553,0.046635693690337036,0.010448256962153814,0.02844386511508636,0.08468496836863014
0.08,0.7,0.016,2.0,0.1,0.0,0.0,0.06501335920678508,0.6143798005604542,True,0.049979768005095855,0.0,0.049979768005095855,0.049979768005095855,0.051393686833940286,0.04324457041857478,0.05356027770653698,0.01091264922332932,0.030712049552778394,0.0970794048660857
0.08,0.7,0.016,2.0,0.03,0.0,0.0,0.06501335920678508,0.6143861559579379,True,0.04997982743488836,0.0,0.04997982743488836,0.04997982743488836,0.051393686833940286,0.043244560402352375,0.05356014380993541,0.010912652533349353,0.030711908365369977,0.09707944006243233
0.08,0.7,0.016,2.0,0.01,0.0,0.0,0.06501335920678508,0.61438797261842,True,0.04997984442411111,0.0,0.04997984442411111,0.04997984442411111,0.051393686833940286,0.043244557543773744,0.053560105547436614,0.010912653497017448,0.03071186802174142,0.09707945012586561
0.08,0.7,0.016,2.0,0.003,0.0,0.0,0.06501335920678508,0.6143886085370608,True,0.04997985037131428,0.0,0.04997985037131428,0.04997985037131428,0.051393686833940286,0.04324455654360749,0.053560092154897876,0.010912653836187693,0.030711853901012918,0.0970794536488378
0.05,0.7,0.016,4.0,0.1,0.0,0.0,0.06501335920678508,0.6232740049851248,True,0.05260534229918756,0.0,0.05260534229918756,0.05260534229918756,0.051393686833940286,0.0448012457692025,0.05699124909633275,0.010507869265997106,0.030496040868574978,0.1042105626124478
0.05,0.7,0.016,4.0,0.03,0.0,0.0,0.06501335920678508,0.6232752180074507,True,0.05260534942228938,0.0,0.05260534942228938,0.05260534942228938,0.051393686833940286,0.044801236171345744,0.056991040359422866,0.010507825791339673,0.030495832449738268,0.10421055093338535
0.05,0.7,0.016,4.0,0.01,0.0,0.0,0.06501335920678508,0.6232755647253526,True,0.05260535146047773,0.0,0.05260535146047773,0.05260535146047773,0.051393686833940286,0.04480123343055922,0.05699098069944741,0.010507813374139741,0.030495772878253936,0.1042105475974658
0.05,0.7,0.016,4.0,0.003,0.0,0.0,0.06501335920678508,0.6232756860913354,True,0.052605352174160555,0.0,0.052605352174160555,0.052605352174160555,0.051393686833940286,0.0448012324714372,0.05699095981626511,0.0105078090285542,0.03049575202579273,0.10421054642999433
0.06,0.7,0.016,4.0,0.1,0.0,0.0,0.06501335920678508,0.6288002837032389,True,0.05272701825225481,0.0,0.05272701825225481,0.05272701825225481,0.051393686833940286,0.044926142439968654,0.05729048436120023,0.010497915351523305,0.030532551428398107,0.1043450690824907
0.06,0.7,0.016,4.0,0.03,0.0,0.0,0.06501335920678508,0.6288015948056611,True,0.05272702344103907,0.0,0.05272702344103907,0.05272702344103907,0.051393686833940286,0.04492613486455232,0.05729028839921299,0.01049786721188187,0.030532329617894337,0.10434505704556883
0.06,0.7,0.016,4.0,0.01,0.0,0.0,0.06501335920678508,0.628801969561353,True,0.05272702492627254,0.0,0.05272702492627254,0.05272702492627254,0.051393686833940286,0.04492613270183825,0.05729023238969046,0.010497853461246421,0.030532266219020627,0.10434505360719094
