role,k1_rad_per_m,k2_rad_per_m,k3_radps,stribeck_speed_mps,yaw_fade_mps,sliding_ratio,load_power,linear_gain_nm_per_radps,peak_yield_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,in_place_opposing_nm,in_place_left_command,in_place_right_command,in_place_max_abs_command,score
standard_shifted_peak,0.35,1.6,0.4,0.08,0.05,0.35,1.0,0.025322498356124774,0.010309375914012688,0.03114512149275846,0.03632331178881801,0.052815142515857214,0.00991765005815462,0.2331650547219759,-0.2331650547219759,0.2331650547219759,0.04215016985109918
standard_shifted_peak,0.35,0.75,0.1,0.16,0.05,0.0,1.0,0.004969684536319149,0.01003351104028936,0.031038297290586735,0.03626488138876222,0.05283086228113776,0.009308739082917112,0.22959658034594152,-0.22959658034594152,0.22959658034594152,0.04215039988020849
standard_shifted_peak,0.1,1.1,0.1,0.08,0.05,0.6,1.0,0.0019881075512129115,0.010157474982239054,0.031053662603458702,0.03627075304791658,0.05285418066148065,0.009386911735575923,0.23005470496392985,-0.23005470496392985,0.23005470496392985,0.042152021454540806
standard_shifted_peak,0.2,1.6,0.4,0.08,0.05,0.0,1.0,0.024662133641681915,0.010331723703578669,0.031143674706979343,0.03632653247985821,0.052753638649244296,0.009896758291747462,0.23304262018535915,-0.23304262018535915,0.23304262018535915,0.04215239610141857
standard_shifted_peak,0.05,1.6,0.4,0.08,0.05,0.35,1.0,0.023918729928905653,0.01027512462480433,0.031141613022364893,0.036320880552097215,0.0527981146503688,0.009884700216841005,0.2329719547957081,-0.2329719547957081,0.2329719547957081,0.042152454378493645
standard_shifted_peak,0.35,1.1,0.1,0.08,0.05,0.6,1.0,0.012803394917819273,0.01015518381820504,0.031053923101956638,0.03626976755185692,0.05286065226935132,0.009384794383123998,0.23004229638816592,-0.23004229638816592,0.23004229638816592,0.04215265421031166
standard_shifted_peak,0.1,1.6,0.4,0.08,0.05,0.15,1.0,0.024176340952888908,0.010300744467627776,0.031142459381305745,0.03632390276671662,0.05277022914660022,0.009885196124059466,0.2329748610205487,-0.2329748610205487,0.2329748610205487,0.04215321355068928
standard_shifted_peak,0.35,1.6,0.4,0.08,0.05,0.15,1.0,0.02530493704662578,0.010319593832742365,0.03114577843799468,0.03632636218769867,0.05278189462974605,0.00990328507593642,0.2330808698853701,-0.2330808698853701,0.2330808698853701,0.042153352341433574
standard_shifted_peak,0.2,1.1,0.1,0.08,0.05,0.6,1.0,0.007089293907110664,0.010145163718322806,0.03105325817453677,0.03627017002776623,0.052854969798901474,0.009375534424980791,0.22998802913942026,-0.22998802913942026,0.22998802913942026,0.04215361730035416
standard_shifted_peak,0.0,1.6,0.4,0.08,0.05,0.6,1.0,0.02369337463398997,0.010232466127098178,0.031140961861057623,0.036317748912441696,0.052831311756738525,0.009873650586424296,0.2329071993148411,-0.2329071993148411,0.2329071993148411,0.04215374588161239
standard_shifted_peak,0.05,1.1,0.1,0.08,0.05,0.6,1.0,0.0,0.010139289949512131,0.0310538193352849,0.036271174534220095,0.05284924184099179,0.009370106250215175,0.2299562177526207,-0.2299562177526207,0.2299562177526207,0.042155132802706274
standard_shifted_peak,0.05,1.6,0.4,0.08,0.05,0.15,1.0,0.023894362742273398,0.010285599314080138,0.03114227112862727,0.03632391863599283,0.05276498932111398,0.009870661949989049,0.23288968464853985,-0.23288968464853985,0.23288968464853985,0.04215558058917107
standard_shifted_peak,0.1,1.6,0.4,0.08,0.05,0.0,1.0,0.024161489016580006,0.010307450334491318,0.03114297155556596,0.03632624660796542,0.05274512805696224,0.009873506831131971,0.23290635684837563,-0.23290635684837563,0.23290635684837563,0.04215578085011469
standard_shifted_peak,0.35,1.6,0.4,0.08,0.05,0.0,1.0,0.025293679731794284,0.010326143818554914,0.031146290174957222,0.036328712186617595,0.05275673886594349,0.009891413319798908,0.2330112964020564,-0.2330112964020564,0.2330112964020564,0.04215595128289553
standard_shifted_peak,0.0,1.6,0.4,0.08,0.05,0.35,1.0,0.02365572478000014,0.010247902575407872,0.03114174549786392,0.03632140665120819,0.052790491606934296,0.009858512524973748,0.23281848390883605,-0.23281848390883605,0.23281848390883605,0.042157190980598835
standard_shifted_peak,0.0,1.1,0.1,0.16,0.05,0.6,1.0,0.0,0.01004065815276121,0.03105332958122432,0.036267779533285714,0.05287444716264694,0.009353845084210782,0.22986092048163875,-0.22986092048163875,0.22986092048163875,0.04215750196677516
standard_shifted_peak,0.05,1.6,0.4,0.08,0.05,0.0,1.0,0.0238787825921205,0.010292296731972572,0.03114278361139682,0.03632626024628917,0.05273991960132166,0.009858991195050328,0.23282128911677663,-0.23282128911677663,0.23282128911677663,0.04215814493789352
standard_shifted_peak,0.35,0.75,0.1,0.08,0.05,0.6,1.0,0.004998375035428164,0.010024531334264087,0.031039209553398176,0.036266913411358244,0.05282411995216729,0.009264053417782516,0.2293347035568975,-0.2293347035568975,0.2293347035568975,0.04215916844669125
standard_shifted_peak,0.0,1.1,0.1,0.16,0.05,0.35,1.0,0.0,0.010044314853907272,0.03105358912992434,0.03626916373347427,0.05285803724368831,0.0093412144996368,0.2297868999445824,-0.2297868999445824,0.2297868999445824,0.042159982131586865
standard_shifted_peak,0.0,1.6,0.4,0.08,0.05,0.15,1.0,0.023630373283098277,0.01025829669464235,0.03114240445422016,0.03632444090683716,0.05275743542631756,0.009844460761454446,0.23273613466552154,-0.23273613466552154,0.23273613466552154,0.042160320414254514
standard_shifted_peak,0.0,1.1,0.1,0.16,0.05,0.15,1.0,0.0,0.01004710275777965,0.031053803728759453,0.036270290125771334,0.05284487226185695,0.009330973965131443,0.22972688610599945,-0.22972688610599945,0.22972688610599945,0.04216199714557947
standard_shifted_peak,0.35,0.75,0.1,0.16,0.1,0.0,1.0,0.006529432542002276,0.009545332758310491,0.031051608302288317,0.03627108127758542,0.05320268789049919,0.009315903605685813,0.22963856746221353,-0.22963856746221353,0.22963856746221353,0.04216245127842191
standard_shifted_peak,0.35,0.75,0.1,0.16,0.1,0.15,1.0,0.0065629401217351755,0.009534845376599788,0.031051883003736326,0.03627132719594456,0.05321758890655412,0.009315277068696661,0.2296348956919838,-0.2296348956919838,0.2296348956919838,0.04216283613297681
standard_shifted_peak,0.0,1.6,0.4,0.08,0.05,0.0,1.0,0.023614203238219608,0.010264926416554352,0.031142917478012327,0.03632677961640128,0.052732417202956954,0.00983277316949771,0.23266764046175242,-0.23266764046175242,0.23266764046175242,0.04216288826415975
standard_shifted_peak,0.35,0.75,0.1,0.16,0.1,0.35,1.0,0.006608965582876089,0.009520440081342946,0.03105226980845796,0.03627171896575197,0.05323728793630496,0.009313995839395378,0.2296273871494917,-0.2296273871494917,0.2296273871494917,0.042163448193973205
standard_shifted_peak,0.0,1.1,0.1,0.16,0.05,0.0,1.0,0.0,0.010049113192920537,0.03105396874446766,0.03627114602591672,0.052834977173993755,0.0093232142120511,0.22968141068979311,-0.22968141068979311,0.22968141068979311,0.04216352642377386
standard_shifted_peak,0.05,1.1,0.1,0.16,0.1,0.0,1.0,0.00198611741294345,0.009623140616631038,0.031066218920522633,0.036277683866003316,0.05321934506350571,0.009391841294421494,0.2300835942517583,-0.2300835942517583,0.2300835942517583,0.04216371109296988
standard_shifted_peak,0.1,1.1,0.1,0.08,0.05,0.35,1.0,0.0019697189273548987,0.01016122965143893,0.03105493848417971,0.03627565979633548,0.052808379662429676,0.009326790531244196,0.22970236942418956,-0.22970236942418956,0.22970236942418956,0.042163867401454024
standard_shifted_peak,0.35,0.75,0.1,0.16,0.1,0.6,1.0,0.006668639863527833,0.00950176290547725,0.031052786010788706,0.036272310189437044,0.05326163706810275,0.009311682721586438,0.22961383130641183,-0.22961383130641183,0.22961383130641183,0.042164371071596346
standard_shifted_peak,0.05,1.1,0.1,0.16,0.1,0.15,1.0,0.002052416731795539,0.009610865246899608,0.031066503139365726,0.03627798122357792,0.053233866241692164,0.009389546354311626,0.23007014493763914,-0.23007014493763914,0.23007014493763914,0.042164398791236554
standard_shifted_peak,0.35,1.1,0.1,0.08,0.05,0.35,1.0,0.01279262325615463,0.010158876200095078,0.031055199040215233,0.036274674170886596,0.05281485726405678,0.009324630345079476,0.22968970982485606,-0.22968970982485606,0.22968970982485606,0.04216450774546955
standard_shifted_peak,0.35,1.1,0.1,0.16,0.1,0.0,1.0,0.014372161108716594,0.00961743170046721,0.031066294989791746,0.03627645772027965,0.05322616324331238,0.00938626959629197,0.23005094175769145,-0.23005094175769145,0.23005094175769145,0.042164766737061
