objective,rank,score,current_score,score_delta_vs_current_pct,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd
launch_focused,100,171.05750375879347,6790.937933157255,-97.48109163354898,5.5,0.01,450.0,64.0,54.0,5.0
launch_focused,101,171.16346958666912,6790.937933157255,-97.47953123307236,5.5,0.01,600.0,64.0,60.0,5.0
launch_focused,102,171.48934984857195,6790.937933157255,-97.47473248118993,5.5,0.01,300.0,8.0,54.0,5.0
launch_focused,103,171.49184388113898,6790.937933157255,-97.4746957552974,5.5,0.01,600.0,96.0,60.0,5.0
launch_focused,104,171.5684985832551,6790.937933157255,-97.47356697599076,5.5,0.01,450.0,48.0,54.0,5.0
launch_focused,105,171.5769367183976,6790.937933157255,-97.47344272017772,5.5,0.01,600.0,112.0,60.0,5.0
launch_focused,106,171.61777999952045,6790.937933157255,-97.47284128218013,5.5,0.01,450.0,16.0,60.0,5.0
launch_focused,107,172.28829204432665,6790.937933157255,-97.46296765277272,5.5,0.01,600.0,48.0,60.0,5.0
launch_focused,108,172.82462977308623,6790.937933157255,-97.45506980811506,5.5,0.01,300.0,0.0,54.0,5.0
launch_focused,109,173.25490064058104,6790.937933157255,-97.44873385170182,5.5,0.01,450.0,32.0,54.0,5.0
launch_focused,110,173.26564188597158,6790.937933157255,-97.44857568142407,5.5,0.01,600.0,80.0,54.0,5.0
launch_focused,111,173.41221335721042,6790.937933157255,-97.44641734228622,5.5,0.01,450.0,8.0,60.0,5.0
launch_focused,112,173.73942527297586,6790.937933157255,-97.4415989811263,5.5,0.01,600.0,112.0,54.0,5.0
launch_focused,113,174.0110255229033,6790.937933157255,-97.43759952990762,5.5,0.01,600.0,96.0,54.0,5.0
launch_focused,114,174.23175107196494,6790.937933157255,-97.43434923442216,5.5,0.01,450.0,24.0,54.0,5.0
launch_focused,115,174.52246847033547,6790.937933157255,-97.43006827351172,5.5,0.01,600.0,32.0,60.0,5.0
launch_focused,116,174.57563921605998,6790.937933157255,-97.42928530735524,5.5,0.01,600.0,64.0,54.0,5.0
launch_focused,117,174.74323734629073,6790.937933157255,-97.42681734001582,5.5,0.01,750.0,80.0,48.0,5.0
launch_focused,118,175.09935903912893,6790.937933157255,-97.42157326774857,5.5,0.01,300.0,112.0,66.0,5.0
launch_focused,119,175.52055753940795,6790.937933157255,-97.41537090653685,5.5,0.01,300.0,96.0,66.0,5.0
launch_focused,120,175.68105060356174,6790.937933157255,-97.41300756489342,5.5,0.01,600.0,48.0,54.0,5.0
broad_envelope,1,164.12357105407796,14646.078300034615,-98.87940261077472,5.5,0.01,300.0,112.0,48.0,5.0
broad_envelope,2,164.3056067343356,14646.078300034615,-98.87815971368973,5.5,0.01,300.0,96.0,48.0,5.0
broad_envelope,3,164.8627635873909,14646.078300034615,-98.8743555768987,5.5,0.01,300.0,96.0,42.0,5.0
broad_envelope,4,164.9722866219897,14646.078300034615,-98.87360777921282,5.5,0.01,300.0,112.0,42.0,5.0
broad_envelope,5,165.49869262265193,14646.078300034615,-98.87001360205578,5.5,0.01,300.0,80.0,48.0,5.0
broad_envelope,6,165.72339179980136,14646.078300034615,-98.86847940858401,5.5,0.01,300.0,112.0,36.0,5.0
broad_envelope,7,166.35031495144307,14646.078300034615,-98.86419892380987,5.5,0.01,300.0,96.0,36.0,5.0
broad_envelope,8,166.66176017632262,14646.078300034615,-98.86207244859581,5.5,0.01,300.0,80.0,42.0,5.0
broad_envelope,9,166.8082774089873,14646.078300034615,-98.86107206317071,5.5,0.01,300.0,64.0,48.0,5.0
broad_envelope,10,167.66981754411114,14646.078300034615,-98.85518966846084,5.5,0.01,300.0,64.0,42.0,5.0
broad_envelope,11,167.94807801029282,14646.078300034615,-98.85328977102427,5.5,0.01,300.0,80.0,36.0,5.0
broad_envelope,12,168.0423578327869,14646.078300034615,-98.85264605042846,5.5,0.01,300.0,48.0,48.0,5.0
broad_envelope,13,168.9964741150265,14646.078300034615,-98.84613156742014,5.5,0.01,300.0,64.0,36.0,5.0
broad_envelope,14,169.23869969555054,14646.078300034615,-98.84447770776188,5.5,0.01,300.0,48.0,42.0,5.0
broad_envelope,15,169.83176796376105,14646.078300034615,-98.84042837622027,5.5,0.01,300.0,32.0,48.0,5.0
broad_envelope,16,170.7561508667804,14646.078300034615,-98.83411690577691,5.5,0.01,300.0,48.0,36.0,5.0
broad_envelope,17,170.97580181977747,14646.078300034615,-98.83261718039992,5.5,0.01,300.0,24.0,48.0,5.0
broad_envelope,18,171.14213257059026,14646.078300034615,-98.83148151290311,5.5,0.01,300.0,32.0,42.0,5.0
broad_envelope,19,171.17151393302865,14646.078300034615,-98.8312809038265,5.5,0.01,450.0,96.0,48.0,5.0
broad_envelope,20,171.36903116117153,14646.078300034615,-98.82993230235041,5.5,0.01,450.0,96.0,42.0,5.0
broad_envelope,21,171.70981331326868,14646.078300034615,-98.82760552145305,5.5,0.01,450.0,80.0,48.0,5.0
broad_envelope,22,172.13850051543582,14646.078300034615,-98.82467854541629,5.5,0.01,300.0,112.0,60.0,5.0
broad_envelope,23,172.3675474868714,14646.078300034615,-98.82311466622117,5.5,0.01,450.0,112.0,48.0,5.0
broad_envelope,24,172.37760203532423,14646.078300034615,-98.82304601611396,5.5,0.01,450.0,96.0,36.0,5.0
broad_envelope,25,172.78634580347702,14646.078300034615,-98.8202552091841,5.5,0.01,450.0,112.0,42.0,5.0
broad_envelope,26,172.83859873226436,14646.078300034615,-98.81989843839729,5.5,0.01,300.0,24.0,42.0,5.0
broad_envelope,27,172.8715522022594,14646.078300034615,-98.81967343980503,5.5,0.01,300.0,16.0,48.0,5.0
broad_envelope,28,172.88494693813345,14646.078300034615,-98.81958198367869,5.5,0.01,450.0,112.0,36.0,5.0
