run_id,family,recommendation,path,input_rows,normalized_rows,kept_rows,bias_radps,bias_rows,samples,in_place_yaw_samples,moving_yaw_samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,mean_patch_delta_yaw_moment_nm,cutoff_reason,limitation
aux003,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux003.csv,37677,37677,37677,0.003665000,3111,34895,5975,7984,0.306254529,0.283386609,-0.022867921,-0.001923042,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
aux004,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux004.csv,42804,42804,42804,0.003665000,3524,39898,6899,8132,0.297684085,0.280713557,-0.016970528,-0.001045955,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
aux005,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux005.csv,27221,27221,27221,0.000000000,1761,25510,3308,3117,0.362948297,0.352223818,-0.010724479,-0.000204342,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
aux006,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux006.csv,27170,27170,27170,0.004887000,845,26162,3814,2084,0.239248633,0.234165775,-0.005082858,-0.000279330,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
aux007,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux007.csv,20158,20158,20158,-0.004887000,1763,18923,3161,2947,0.370920003,0.358873435,-0.012046568,-0.000082646,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
aux008,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux008.csv,34927,34927,34927,0.003665000,1225,33677,5344,5654,0.261266919,0.254263533,-0.007003387,-0.000025796,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
aux009,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux009.csv,36735,36735,36735,0.004887000,1373,35227,6848,5507,0.331732755,0.319565705,-0.012167049,-0.000926682,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
aux010,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux010.csv,30492,30492,30492,0.003665000,1133,29134,5818,4703,0.327531720,0.318448414,-0.009083305,-0.000215641,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
aux011,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux011.csv,1675,1675,1675,0.000000000,0,1656,764,74,0.959475932,0.827643634,-0.131832298,-0.015939174,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
aux012,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux012.csv,13035,13035,13035,0.004887000,540,12334,2226,529,0.233274762,0.226222238,-0.007052523,-0.000123394,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
