family,forward_velocity_bin_mps,yaw_rate_bin_radps,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct,worsened_sample_fraction,mean_patch_delta_yaw_moment_nm,rmse_patch_delta_yaw_moment_nm
competition_diag,0.00,0.00,competition_diag:0.00:0.00,57627,0.265611171,0.261249984,-0.004361187,-1.641944,0.082044875,-0.000039140,0.001067786
competition_diag,0.00,0.50,competition_diag:0.00:0.50,12853,0.427353850,0.415029932,-0.012323918,-2.883774,0.062008870,0.002676725,0.002977159
competition_diag,0.00,1.00,competition_diag:0.00:1.00,5195,0.519582936,0.510490134,-0.009092802,-1.750019,0.017709336,0.002498413,0.003895217
competition_diag,0.00,1.50,competition_diag:0.00:1.50,3502,0.587352850,0.581611079,-0.005741771,-0.977568,0.000000000,0.001103053,0.002922607
competition_diag,0.00,2.00,competition_diag:0.00:2.00,3511,0.571877788,0.568809717,-0.003068072,-0.536491,0.000000000,0.000585512,0.001237012
competition_diag,0.00,2.50,competition_diag:0.00:2.50,3839,0.551533782,0.547925426,-0.003608356,-0.654240,0.000000000,0.000702607,0.000860647
competition_diag,0.00,3.00,competition_diag:0.00:3.00,4695,0.547115919,0.541885889,-0.005230030,-0.955927,0.000000000,0.001028126,0.001105534
competition_diag,0.00,3.50,competition_diag:0.00:3.50,3757,0.571981692,0.564753688,-0.007228005,-1.263678,0.000000000,0.001401428,0.001482707
competition_diag,0.00,4.00,competition_diag:0.00:4.00,4310,0.544849727,0.536582772,-0.008266954,-1.517291,0.000232019,0.001662272,0.001717831
competition_diag,0.00,4.50,competition_diag:0.00:4.50,4278,0.558053484,0.548130017,-0.009923468,-1.778229,0.000000000,0.001915490,0.001969497
competition_diag,0.00,5.00,competition_diag:0.00:5.00,4190,0.538435497,0.527483629,-0.010951868,-2.034017,0.000477327,0.002198773,0.002251826
competition_diag,0.00,5.50,competition_diag:0.00:5.50,2668,0.546870165,0.533992952,-0.012877214,-2.354711,0.000749625,0.002560155,0.002631877
competition_diag,0.00,6.00,competition_diag:0.00:6.00,1069,0.512873404,0.497951641,-0.014921763,-2.909444,0.001870907,0.003084346,0.003168616
competition_diag,0.00,6.50,competition_diag:0.00:6.50,1023,0.466629762,0.451262093,-0.015367669,-3.293332,0.000000000,0.003346657,0.003436451
competition_diag,0.00,7.00,competition_diag:0.00:7.00,997,0.496542565,0.479513010,-0.017029555,-3.429626,0.000000000,0.003365749,0.003465355
competition_diag,0.00,7.50,competition_diag:0.00:7.50,292,0.512355340,0.496992774,-0.015362566,-2.998420,0.003424658,0.003244086,0.003277798
competition_diag,0.10,-0.50,competition_diag:0.10:-0.50,5165,0.334635039,0.318899960,-0.015735079,-4.702161,0.010261375,-0.003151807,0.003312587
competition_diag,0.10,-1.00,competition_diag:0.10:-1.00,532,0.461341831,0.437129547,-0.024212285,-5.248231,0.009398496,-0.004770454,0.005101383
competition_diag,0.10,-1.50,competition_diag:0.10:-1.50,331,0.500920073,0.486306362,-0.014613711,-2.917374,0.009063444,-0.004395491,0.005298258
competition_diag,0.10,-2.00,competition_diag:0.10:-2.00,275,0.473981192,0.453993190,-0.019988002,-4.217045,0.018181818,-0.005331602,0.006263534
competition_diag,0.10,-2.50,competition_diag:0.10:-2.50,191,0.494893086,0.481837032,-0.013056054,-2.638157,0.015706806,-0.003287567,0.004869264
competition_diag,0.10,0.00,competition_diag:0.10:0.00,15254,0.109815100,0.107152105,-0.002662995,-2.424981,0.341287531,-0.000087188,0.000973166
competition_diag,0.10,0.50,competition_diag:0.10:0.50,5616,0.351730284,0.336852165,-0.014878119,-4.229980,0.003383191,0.003125866,0.003321293
competition_diag,0.10,1.00,competition_diag:0.10:1.00,627,0.462624254,0.439846738,-0.022777516,-4.923546,0.004784689,0.004410105,0.004717566
competition_diag,0.10,1.50,competition_diag:0.10:1.50,326,0.480536408,0.463708548,-0.016827860,-3.501891,0.003067485,0.004095233,0.004961796
competition_diag,0.10,2.00,competition_diag:0.10:2.00,284,0.500655730,0.479942644,-0.020713085,-4.137191,0.010563380,0.004665444,0.005642057
competition_diag,0.20,-0.50,competition_diag:0.20:-0.50,5346,0.230724935,0.217551290,-0.013173646,-5.709676,0.012719790,-0.002784718,0.003020915
competition_diag,0.20,-1.00,competition_diag:0.20:-1.00,146,0.530854771,0.499738783,-0.031115988,-5.861488,0.000000000,-0.005221045,0.005419927
competition_diag,0.20,-1.50,competition_diag:0.20:-1.50,164,0.565718393,0.550762630,-0.014955763,-2.643676,0.000000000,-0.002813317,0.003706833
competition_diag,0.20,-2.00,competition_diag:0.20:-2.00,169,0.578872689,0.569368420,-0.009504269,-1.641858,0.000000000,-0.002499992,0.003708612
competition_diag,0.20,-2.50,competition_diag:0.20:-2.50,277,0.560762710,0.547429212,-0.013333498,-2.377743,0.003610108,-0.003074639,0.004057706
competition_diag,0.20,-3.00,competition_diag:0.20:-3.00,613,0.528922834,0.516909972,-0.012012862,-2.271194,0.000000000,-0.002395123,0.002879816
competition_diag,0.20,-3.50,competition_diag:0.20:-3.50,1792,0.519850720,0.509758382,-0.010092338,-1.941392,0.000000000,-0.002036095,0.002146939
competition_diag,0.20,-4.00,competition_diag:0.20:-4.00,1177,0.529595501,0.517817689,-0.011777812,-2.223926,0.000000000,-0.002382568,0.002465983
competition_diag,0.20,-4.50,competition_diag:0.20:-4.50,138,0.624952121,0.608632700,-0.016319421,-2.611307,0.000000000,-0.002820506,0.003110754
competition_diag,0.20,-6.00,competition_diag:0.20:-6.00,136,0.387457842,0.368857823,-0.018600019,-4.800527,0.000000000,-0.004700448,0.004780411
competition_diag,0.20,0.00,competition_diag:0.20:0.00,22274,0.113994997,0.109804586,-0.004190411,-3.675961,0.225195295,-0.000061147,0.001216772
competition_diag,0.20,0.50,competition_diag:0.20:0.50,4694,0.269113098,0.255216126,-0.013896972,-5.163989,0.006391138,0.002868247,0.003063013
competition_diag,0.20,1.00,competition_diag:0.20:1.00,177,0.433316893,0.408427442,-0.024889452,-5.743938,0.000000000,0.005424239,0.005718986
competition_diag,0.20,1.50,competition_diag:0.20:1.50,170,0.555618101,0.541907529,-0.013710572,-2.467625,0.000000000,0.002190282,0.003259270
competition_diag,0.20,2.00,competition_diag:0.20:2.00,239,0.561453018,0.552615741,-0.008837277,-1.574001,0.000000000,0.001630894,0.002670293
