name,gate_scope,reserve_yield,speed_knee_mps,util_knee,rel_weight,speed_fade_mps,force_sliding_nm,primary_rmse_nm,primary_regime_rmse_nm,validation_rmse_nm,validation_rb_rmse_nm,validation_regime_rmse_nm,forward_ge_0p5_rmse_nm,straight_rmse_nm,low_speed_yaw_rmse_nm,in_place_max_abs_command,in_place_extra_opposing_nm,score
bank_aggregate_full_yaw,bank_aggregate,full_yaw,0.5,0.16,1.0,0.64,0.06741675635026155,0.022830530528892185,0.02893982590969711,0.032228245752782846,0.029139257638585554,0.03656383911708341,0.03138025082310693,0.018659951672438054,0.038887643816058276,0.6378440902940935,0.0641763006095179,0.03730324744487149
bank_aggregate_longitudinal,bank_aggregate,longitudinal,0.5,0.16,0.75,0.64,0.064,0.02284156737852329,0.02895967168909242,0.03216277032308556,0.029098939906696097,0.03650376036915614,0.03136413563668902,0.01879278817665499,0.038808652776321985,0.6190379614038729,0.060967293881070535,0.03731466807151139
per_patch_longitudinal,per_patch,longitudinal,0.65,0.05,1.0,0.64,0.072,0.024197762799213873,0.02895314137095575,0.03170981720674763,0.02892627159623803,0.036307413700624964,0.031635650458974644,0.02054154507795645,0.03873819582448681,0.6812715581669044,0.07158659952944879,0.037329230309864445
bank_aggregate_full_yaw,bank_aggregate,full_yaw,0.65,0.16,0.75,0.64,0.064,0.022892317647000185,0.02898962487322556,0.032066609781397165,0.029074538509730935,0.036423434108200786,0.03160789306774893,0.018677916636615034,0.03869092469063405,0.6191015081602886,0.06097813725931704,0.03737315224420798
bank_aggregate_longitudinal,bank_aggregate,longitudinal,0.65,0.16,1.0,0.64,0.064,0.023025898695129846,0.029065840997056388,0.032266570720030176,0.029366246949483713,0.036668061761324866,0.031568767953882616,0.019280744742100144,0.03871510502852004,0.6189471286153388,0.060951794517470986,0.03746796236627127
per_patch_full_yaw,per_patch,full_yaw,0.65,0.05,0.75,0.64,0.072,0.024196389691296616,0.029103767628673317,0.03163665339501062,0.028735572662080877,0.03620144488747443,0.03169081480670137,0.020260291574812062,0.038866294302562304,0.6814546612962471,0.07161784355513269,0.03747753433842597
bank_aggregate_full_yaw,bank_aggregate,full_yaw,0.5,0.16,0.75,0.64,0.06741675635026155,0.023037563578347076,0.029178777487119344,0.032368555727351186,0.029215650071400156,0.03661676784804202,0.03138234844404204,0.018735796685673076,0.03905735296118915,0.6380594493724917,0.06421304866838991,0.03754780653852985
bank_aggregate_longitudinal,bank_aggregate,longitudinal,0.5,0.16,1.0,0.64,0.06741675635026155,0.02318275011922077,0.02924682029559193,0.03256712554023798,0.02949334612610763,0.03685649725360284,0.031400011926613854,0.019381417119902093,0.03904802483943948,0.6378440902940935,0.0641763006095179,0.03764247180994429
per_patch_longitudinal,per_patch,longitudinal,0.65,0.05,0.75,0.64,0.072,0.02445336658552655,0.029288835455474595,0.03180386649666678,0.028925112712475543,0.03632672644664774,0.03170356755332782,0.02060332140903544,0.03897875107499993,0.6814546612962471,0.07161784355513269,0.037677043233138544
bank_aggregate_full_yaw,bank_aggregate,full_yaw,0.65,0.16,1.0,0.64,0.06741675635026155,0.02320576290015799,0.029268081147792634,0.03246246437650898,0.029481162119510972,0.036779034051941696,0.03158247034682818,0.019212756256750348,0.03894879327514996,0.6379637154185348,0.06419671298845377,0.037683355105011036
