step_id,amplitude,direction,direction_sign,repeat_index,split,quality_class,pre_filtered_std_radps,pre_highpass_std_radps,pre_encoder_max_mps,command_encoder_max_mps,response_delay_ms,initial_accel_radps2,peak_accel_radps2,peak_yaw_rate_radps,peak_sample,steady_yaw_rate_radps,command_area_rad,t63_ms,rise_10_90_ms,recovery_tau37_ms,recovery_last50_radps,imu_temp_mean,quality_flags
77,0.65,CW,1,9,train,sustained_launch,0.011190739,0.016737007,0.005872133,0.187908247,3.000,184.245323662,232.423230357,3.694567514,341,3.463283848,0.926926853,20.436,272.998,17.000,-0.000499749,-7693.823,sustained;wheel_motion
78,0.65,CCW,-1,9,train,sustained_launch,0.008222254,0.013427826,0.005872133,0.199652508,2.000,169.673970818,226.114181904,4.404019364,114,1.677153095,0.992084679,8.252,8.866,8.000,-0.000668913,-7683.134,sustained;wheel_motion
79,0.65,CW,1,10,validation,sustained_launch,0.010520893,0.015646499,0.005872133,0.176163971,3.000,158.054410231,192.123086684,3.539881000,349,2.730988542,0.867491266,14.498,85.224,18.000,-0.000874910,-7682.303,sustained;wheel_motion
80,0.65,CCW,-1,10,validation,sustained_launch,0.010076819,0.016022369,0.000000000,0.152675450,2.000,139.282137881,211.759290693,3.336462762,89,2.291977852,0.840552840,14.036,22.960,11.000,-0.000638677,-7664.283,sustained;wheel_motion
81,0.70,CW,1,1,train,sustained_launch,0.011673231,0.017282001,0.005872133,0.317095160,4.000,194.577627492,237.419544979,6.808507377,195,3.569819952,1.672978222,17.057,24.584,14.000,-0.001411184,-7670.926,sustained;wheel_motion
82,0.70,CCW,-1,1,train,sustained_launch,0.008507915,0.013259516,0.000000000,0.328839421,3.000,227.873175670,309.826423726,6.560537365,298,5.991481023,1.533222889,173.990,200.027,20.000,-0.000299606,-7657.363,sustained;wheel_motion
83,0.70,CW,1,2,train,sustained_launch,0.006910923,0.010550889,0.005872133,0.364072233,3.000,208.127219102,249.231985550,7.366581293,319,7.169557653,1.659240316,178.587,276.449,21.000,-0.000409052,-7657.046,sustained;wheel_motion
84,0.70,CCW,-1,2,train,sustained_launch,0.009410686,0.015145971,0.000000000,0.340583682,3.000,219.672148623,269.868712425,6.801822216,155,4.684809561,1.629458352,41.428,78.488,20.000,-0.000120640,-7653.980,sustained;wheel_motion
85,0.70,CW,1,3,validation,sustained_launch,0.009081485,0.014987420,0.005872133,0.264245957,3.000,215.269734537,267.780489720,4.069681193,136,3.230240904,1.211920793,14.348,20.253,14.000,0.000671075,-7650.143,sustained;wheel_motion
86,0.70,CCW,-1,3,validation,sustained_launch,0.009877374,0.014842516,0.000000000,0.281862378,3.000,201.647108680,242.357824323,5.463291066,349,4.940037327,1.068294085,243.966,295.917,25.000,0.000820095,-7644.960,sustained;wheel_motion
87,0.70,CW,1,4,train,sustained_launch,0.007769687,0.012414118,0.000000000,0.287734509,2.000,217.532264615,263.283724751,5.975698410,127,3.741482331,1.535032611,16.567,23.714,19.000,0.000057171,-7638.583,sustained;wheel_motion
88,0.70,CCW,-1,4,train,sustained_launch,0.010706725,0.016383198,0.000000000,0.317095160,4.000,223.499435912,295.124823104,6.619535250,347,5.932463122,1.340416232,120.616,296.167,23.000,0.000893124,-7634.489,sustained;wheel_motion
89,0.70,CW,1,5,train,sustained_launch,0.007090974,0.011004527,0.005872133,0.299478769,3.000,201.251808297,254.226806237,6.972307747,159,3.365009708,1.618297089,17.562,28.636,13.000,-0.000461312,-7636.240,sustained;wheel_motion
90,0.70,CCW,-1,5,train,sustained_launch,0.010904889,0.016835034,0.000000000,0.352327943,3.000,191.524944734,271.110050588,6.523773254,328,6.413115375,1.441088185,160.526,266.728,22.000,-0.001070350,-7630.611,sustained;wheel_motion
91,0.70,CW,1,6,train,sustained_launch,0.009374972,0.014298771,0.000000000,0.399305016,2.000,190.624423656,251.727643352,8.397615185,229,5.785814260,1.958769409,67.794,113.848,17.000,-0.000650451,-7633.603,sustained;wheel_motion
92,0.70,CCW,-1,6,train,sustained_launch,0.007085216,0.011278132,0.000000000,0.369944364,2.000,211.591128891,288.768976364,7.126220936,240,6.309561957,1.769499751,104.368,172.829,21.000,-0.000276371,-7630.540,sustained;wheel_motion
93,0.70,CW,1,7,validation,sustained_launch,0.008240178,0.012774935,0.000000000,0.405177146,3.000,212.882969025,275.020766680,8.580088885,332,8.237537675,1.741510559,214.523,288.709,27.000,0.000214036,-7632.954,sustained;wheel_motion
94,0.70,CCW,-1,7,validation,sustained_launch,0.009047529,0.014288723,0.000000000,0.381688625,3.000,209.846946662,266.778612082,6.402078661,157,5.913831044,1.825478543,60.563,86.271,28.000,0.000436461,-7625.926,sustained;wheel_motion
95,0.70,CW,1,8,train,sustained_launch,0.011929269,0.018809528,0.000000000,0.305350900,3.000,196.409984013,237.778992370,6.102002166,134,5.357937869,1.740979495,31.506,56.113,24.000,0.000503541,-7619.320,sustained;wheel_motion
96,0.70,CCW,-1,8,train,sustained_launch,0.010739201,0.016487133,0.000000000,0.287734509,3.000,202.941174851,252.805150789,5.454485675,348,5.136516052,1.161340868,199.505,284.154,23.000,0.001209647,-7612.171,sustained;wheel_motion
97,0.70,CW,1,9,train,sustained_launch,0.007349441,0.011901265,0.005872133,0.352327943,3.000,213.034219062,273.961255633,7.060666561,349,6.649605997,1.761804524,45.887,289.581,28.000,0.000190795,-7616.906,sustained;wheel_motion
98,0.70,CCW,-1,9,train,sustained_launch,0.010290425,0.016108612,0.000000000,0.340583682,2.000,164.433428022,200.232625746,6.756198448,348,6.191130514,1.516691937,117.478,293.731,32.000,-0.000251572,-7620.266,sustained;wheel_motion
99,0.70,CW,1,10,validation,sustained_launch,0.007509394,0.011986961,0.005872133,0.440409929,3.000,189.029832868,249.565905078,8.777886834,349,8.205089910,2.284990210,65.908,177.168,35.000,0.000170240,-7622.834,sustained;wheel_motion
100,0.70,CCW,-1,10,validation,sustained_launch,0.010013092,0.016277579,0.000000000,0.499131292,2.000,201.468135407,257.143650582,9.247474610,319,8.942322247,2.273093535,84.024,261.051,28.000,-0.000842020,-7622.371,sustained;wheel_motion
