forward_velocity_bin_mps,yaw_rate_bin_radps,abs_yaw_rate_bin_radps,count,median_residual_additive_yaw_torque_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm
0.10,-7.50,7.50,123,-0.111326392,-0.111326392,-0.109698578,0.015957547,0.030340761
0.10,-7.00,7.00,264,-0.112686111,-0.112686111,-0.112215056,0.013148719,0.026386708
0.10,-6.50,6.50,329,-0.114572750,-0.114572750,-0.113535654,0.014579604,0.029293243
0.10,-6.00,6.00,317,-0.115569532,-0.115569532,-0.114658593,0.014700775,0.028747931
0.10,-5.50,5.50,334,-0.114360694,-0.114360694,-0.113331077,0.012940192,0.026573635
0.10,-5.00,5.00,401,-0.109748312,-0.109748312,-0.108730934,0.015494596,0.032106564
0.10,-4.50,4.50,637,-0.110164588,-0.110164588,-0.108787364,0.016023723,0.032865642
0.10,-4.00,4.00,1251,-0.074256322,-0.074256322,-0.073718361,0.035432365,0.071455210
0.10,-3.50,3.50,1898,-0.049558634,-0.049558634,-0.055547818,0.031010143,0.065087115
0.10,-3.00,3.00,1885,-0.038957840,-0.038957840,-0.046154783,0.024199789,0.051888788
0.10,-2.50,2.50,1623,-0.049084981,-0.049084981,-0.058584059,0.027140990,0.066998469
0.10,-2.00,2.00,1409,-0.053971147,-0.053971147,-0.061386841,0.022066244,0.046345529
0.10,-1.50,1.50,1295,-0.058401957,-0.058401957,-0.064374833,0.020892956,0.044246892
0.10,-1.00,1.00,1304,-0.056797842,-0.056797842,-0.049883190,0.023513315,0.052839530
0.10,-0.50,0.50,1759,-0.044131689,-0.044131689,-0.022838465,0.044332708,0.102651610
0.10,0.00,0.00,18752,0.109408540,0.003004936,0.008017167,0.109686068,0.219019600
0.10,0.50,0.50,843,-0.062539985,0.062539985,0.065753744,0.023911489,0.051745779
0.10,1.00,1.00,707,-0.058491383,0.058491383,0.057488943,0.032674985,0.064953450
