model,req_activation_nm,stribeck_speed_mps,speed_fade_mps,rel_weight,tau_fill_s,bristle_slip_distance_m,beta_bristle_static_nm,beta_bristle_sliding_nm,beta_bristle_viscous_nm_per_mps,beta_scale_to_gate,fixedpoint_extra_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,objective_score_nm
state_minimal_lugre,0.05,0.1,0.64,0.75,0.05,0.01,0.0,0.07445701370406226,0.0,0.8231871774532346,0.06501335920678508,0.027531597126738375,0.032063332132284766,0.049493256072893996,0.035191029318698414
state_minimal_lugre,0.05,0.14,0.64,0.75,0.05,0.01,0.0,0.07445701370406226,0.0,0.8231871774532348,0.06501335920678508,0.027531597126738375,0.032063332132284766,0.049493256072893996,0.035191029318698414
state_minimal_lugre,0.035,0.1,0.64,0.75,0.12,0.08,0.0,0.066478879711692,0.0,0.9002314323539917,0.06501335920678508,0.02760843076042962,0.03238443472044966,0.049658752999730355,0.03531456261464772
state_minimal_lugre,0.035,0.14,0.64,0.75,0.12,0.08,0.0,0.066478879711692,0.0,0.9002314323539915,0.06501335920678508,0.02760843076042962,0.03238443472044966,0.049658752999730355,0.03531456261464772
state_minimal_lugre,0.035,0.1,0.64,0.75,0.12,0.03,0.0,0.0682874256692355,0.0,0.8623378204458403,0.06501335920678508,0.027758493739225676,0.03254847603214937,0.049642080948025094,0.03541032596707459
state_minimal_lugre,0.035,0.14,0.64,0.75,0.12,0.03,0.0,0.0682874256692355,0.0,0.8623378204458402,0.06501335920678508,0.027758493739225676,0.03254847603214937,0.049642080948025094,0.03541032596707459
state_minimal_lugre,0.05,0.1,0.64,0.75,0.12,0.08,0.0,0.07172523283407903,0.0,0.8585477182743162,0.06501335920678508,0.02801691684955179,0.0327149390068134,0.04969249566546409,0.035611228960229536
state_minimal_lugre,0.05,0.14,0.64,0.75,0.12,0.08,0.0,0.07172523283407903,0.0,0.8585477182743163,0.06501335920678508,0.02801691684955179,0.0327149390068134,0.04969249566546409,0.035611228960229536
state_minimal_lugre,0.035,0.1,0.64,0.75,0.12,0.01,0.0,0.07407477273337469,0.0,0.8264747668785706,0.06501335920678508,0.02816800197180636,0.03303842699235106,0.049614390515460884,0.03567898576095418
state_minimal_lugre,0.035,0.14,0.64,0.75,0.12,0.01,0.0,0.07407477273337469,0.0,0.8264747668785706,0.06501335920678508,0.02816800197180636,0.03303842699235106,0.049614390515460884,0.03567898576095418
state_minimal_lugre,0.05,0.1,0.64,0.75,0.12,0.03,0.0,0.07367650488406705,0.0,0.834610434903444,0.0650133592067851,0.02822344569975312,0.03293630151543428,0.049682869702625004,0.03574769985246326
state_minimal_lugre,0.05,0.14,0.64,0.75,0.12,0.03,0.0,0.07367650488406705,0.0,0.834610434903444,0.0650133592067851,0.02822344569975312,0.03293630151543428,0.049682869702625004,0.03574769985246326
state_minimal_lugre,0.05,0.1,0.64,0.75,0.12,0.01,0.0,0.0791174660364552,0.05444809542871089,0.8185258749710824,0.0650133592067851,0.02864486506358913,0.03342987048732221,0.04967826140772931,0.0360316868101995
state_minimal_lugre,0.05,0.14,0.64,0.75,0.12,0.01,0.0,0.07911746603648126,0.05444809542694284,0.8185258749703928,0.06501335920678508,0.0286448650635894,0.03342987048732313,0.04967826140772885,0.036031686810199554
