objective,rank,score,current_score,score_delta_vs_current_pct,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd
launch_focused,59,146.9843879461109,6445.56738714428,-97.71960513143851,5.5,0.01,300.0,48.0,60.0,5.0
launch_focused,60,147.59824655201786,6445.56738714428,-97.71008139878572,5.5,0.01,600.0,32.0,48.0,5.0
launch_focused,61,147.6476527165129,6445.56738714428,-97.70931488497045,5.5,0.01,300.0,32.0,60.0,5.0
launch_focused,62,147.9107186044483,6445.56738714428,-97.70523353926208,5.5,0.01,450.0,8.0,48.0,5.0
launch_focused,63,148.05797421756915,6445.56738714428,-97.70294893646025,5.5,0.01,300.0,24.0,60.0,5.0
launch_focused,64,148.137039853523,6445.56738714428,-97.70172226964871,5.5,0.01,450.0,16.0,42.0,5.0
launch_focused,65,148.21004000305024,6445.56738714428,-97.70058970605666,5.5,0.01,300.0,96.0,54.0,5.0
launch_focused,66,148.402129192288,6445.56738714428,-97.6976095310356,5.5,0.01,300.0,80.0,54.0,5.0
launch_focused,67,148.49045358276754,6445.56738714428,-97.69623921892536,5.5,0.01,300.0,16.0,60.0,5.0
launch_focused,68,148.60689961057173,6445.56738714428,-97.69443261260491,5.5,0.01,450.0,80.0,60.0,5.0
launch_focused,69,148.97630083215242,6445.56738714428,-97.6887015233246,5.5,0.01,450.0,24.0,36.0,5.0
launch_focused,70,149.1630908122771,6445.56738714428,-97.68580356308455,5.5,0.01,300.0,64.0,54.0,5.0
launch_focused,71,149.16580997411316,6445.56738714428,-97.68576137654499,5.5,0.01,300.0,8.0,60.0,5.0
launch_focused,72,149.1748972108938,6445.56738714428,-97.68562039226487,5.5,0.01,450.0,96.0,60.0,5.0
launch_focused,73,149.20764298618008,6445.56738714428,-97.68511235669065,5.5,0.01,450.0,64.0,60.0,5.0
launch_focused,74,149.24931493293903,6445.56738714428,-97.68446583569016,5.5,0.01,600.0,48.0,36.0,5.0
launch_focused,75,149.63380101754322,6445.56738714428,-97.6785007117296,5.5,0.01,300.0,48.0,54.0,5.0
launch_focused,76,149.69719631900995,6445.56738714428,-97.67751716291755,5.5,0.01,450.0,48.0,60.0,5.0
launch_focused,77,150.182972881257,6445.56738714428,-97.66998056399507,5.5,0.01,300.0,0.0,60.0,5.0
launch_focused,78,150.36433092990862,6445.56738714428,-97.66716687766214,5.5,0.01,300.0,0.0,36.0,5.0
launch_focused,79,150.40974839278962,6445.56738714428,-97.66646224670953,5.5,0.01,300.0,32.0,54.0,5.0
launch_focused,80,150.82188658481138,6445.56738714428,-97.66006811307835,5.5,0.01,300.0,24.0,54.0,5.0
launch_focused,81,150.89836927250053,6445.56738714428,-97.65888151951575,5.5,0.01,450.0,32.0,60.0,5.0
launch_focused,82,151.00640857189418,6445.56738714428,-97.65720533970249,5.5,0.01,450.0,80.0,54.0,5.0
launch_focused,83,151.3791346050786,6445.56738714428,-97.65142266750627,5.5,0.01,450.0,96.0,54.0,5.0
launch_focused,84,151.41547764816428,6445.56738714428,-97.65085882198419,5.5,0.01,300.0,16.0,54.0,5.0
launch_focused,85,151.7144695583722,6445.56738714428,-97.64622010063897,5.5,0.01,600.0,80.0,60.0,5.0
launch_focused,86,151.83202268537593,6445.56738714428,-97.64439631818595,5.5,0.01,450.0,24.0,60.0,5.0
launch_focused,87,151.90051347518104,6445.56738714428,-97.64333371522656,5.5,0.01,450.0,64.0,54.0,5.0
launch_focused,88,152.35146635658896,6445.56738714428,-97.63633738962291,5.5,0.01,300.0,8.0,54.0,5.0
launch_focused,89,152.3523404074636,6445.56738714428,-97.63632382912742,5.5,0.01,600.0,64.0,60.0,5.0
launch_focused,90,152.42364767774217,6445.56738714428,-97.63521752977478,5.5,0.01,450.0,48.0,54.0,5.0
launch_focused,91,152.57441358931604,6445.56738714428,-97.63287846631428,5.5,0.01,600.0,96.0,60.0,5.0
launch_focused,92,152.86315578282787,6445.56738714428,-97.62839876458798,5.5,0.01,450.0,16.0,60.0,5.0
launch_focused,93,153.478692421055,6445.56738714428,-97.61884899803904,5.5,0.01,600.0,48.0,60.0,5.0
launch_focused,94,153.66147762924982,6445.56738714428,-97.61601316998518,5.5,0.01,300.0,0.0,54.0,5.0
launch_focused,95,154.03185387079841,6445.56738714428,-97.61026695372054,5.5,0.01,600.0,80.0,54.0,5.0
launch_focused,96,154.05205583997252,6445.56738714428,-97.60995352950262,5.5,0.01,450.0,32.0,54.0,5.0
launch_focused,97,154.30719155756475,6445.56738714428,-97.60599521672319,5.5,0.01,300.0,96.0,66.0,5.0
launch_focused,98,154.5830200665247,6445.56738714428,-97.60171586484626,5.5,0.01,300.0,80.0,66.0,5.0
launch_focused,99,154.60101744955878,6445.56738714428,-97.60143664376372,5.5,0.01,450.0,8.0,60.0,5.0
launch_focused,100,154.69110601477436,6445.56738714428,-97.60003896129756,5.5,0.01,600.0,96.0,54.0,5.0
broad_envelope,1,150.21476379811597,13524.87965543324,-98.88934491378065,5.5,0.01,300.0,96.0,48.0,5.0
broad_envelope,2,150.75440292789943,13524.87965543324,-98.88535494016512,5.5,0.01,300.0,96.0,42.0,5.0
broad_envelope,3,151.29524733651417,13524.87965543324,-98.88135605498172,5.5,0.01,300.0,80.0,48.0,5.0
broad_envelope,4,152.11879329143463,13524.87965543324,-98.87526693643943,5.5,0.01,300.0,96.0,36.0,5.0
broad_envelope,5,152.37116946996431,13524.87965543324,-98.87340092221262,5.5,0.01,300.0,80.0,42.0,5.0
broad_envelope,6,152.5083014339178,13524.87965543324,-98.87238699848503,5.5,0.01,300.0,64.0,48.0,5.0
broad_envelope,7,153.322118368605,13524.87965543324,-98.86636981418899,5.5,0.01,300.0,64.0,42.0,5.0
broad_envelope,8,153.57635448052568,13524.87965543324,-98.86449004802176,5.5,0.01,300.0,80.0,36.0,5.0
broad_envelope,9,153.65222437982752,13524.87965543324,-98.86392908259187,5.5,0.01,300.0,48.0,48.0,5.0
broad_envelope,10,154.55840152719446,13524.87965543324,-98.857229007098,5.5,0.01,300.0,64.0,36.0,5.0
broad_envelope,11,154.7673752062785,13524.87965543324,-98.85568390145265,5.5,0.01,300.0,48.0,42.0,5.0
broad_envelope,12,155.32685847217905,13524.87965543324,-98.85154720463792,5.5,0.01,300.0,32.0,48.0,5.0
broad_envelope,13,156.19032292308245,13524.87965543324,-98.84516293747325,5.5,0.01,300.0,48.0,36.0,5.0
broad_envelope,14,156.41091770300463,13524.87965543324,-98.8435319079518,5.5,0.01,300.0,24.0,48.0,5.0
broad_envelope,15,156.56396935038646,13524.87965543324,-98.84240027756927,5.5,0.01,450.0,96.0,48.0,5.0
broad_envelope,16,156.56902254685338,13524.87965543324,-98.84236291534057,5.5,0.01,300.0,32.0,42.0,5.0
broad_envelope,17,156.77401395991564,13524.87965543324,-98.84084725369858,5.5,0.01,450.0,96.0,42.0,5.0
broad_envelope,18,157.05194392904542,13524.87965543324,-98.83879230033699,5.5,0.01,450.0,80.0,48.0,5.0
broad_envelope,19,157.71740932315555,13524.87965543324,-98.83387199486246,5.5,0.01,450.0,96.0,36.0,5.0
