model,group,rows,runs,coverage_fraction,baseline_rmse_nm,corrected_rmse_nm,rmse_delta_nm,rmse_improvement_fraction,baseline_mae_nm,corrected_mae_nm,mae_delta_nm,baseline_median_abs_nm,corrected_median_abs_nm,median_residual_before_nm,median_residual_after_nm
vf_yaw_ridge_surface,split:open_floor_validation_only:phase:exit,1905,9,1.0,0.025901922754757487,0.026705875284730902,0.000803952529973416,-0.03103833401038747,0.01860998364776903,0.019852839076005196,0.0012428554282361663,0.012153925,0.013645864914744746,-0.004435259,-0.007168375365904526
vf_yaw_ridge_surface,split:diag_validation_only:all,11108,3,1.0,0.0846209251204878,0.09145768526370837,0.006836760143220572,-0.08079278421366842,0.0738060716588945,0.08031968479605943,0.006513613137164934,0.082360023,0.087755041802521,-0.006359523000000001,-0.010961212086254864
vf_yaw_ridge_surface,split:diag_validation_only:phase:entry,3215,3,1.0,0.10590823322237675,0.11430131186309368,0.008393078640716936,-0.07924859461203448,0.10058718607029549,0.10874689288668776,0.008159706816392276,0.110339143,0.11979796592598814,-0.026745843,-0.033916358960315564
vf_yaw_ridge_surface,split:diag_validation_only:phase:plateau,4712,3,1.0,0.06448450059620303,0.06986991205019279,0.005385411453989755,-0.08351481990552712,0.05078566537882004,0.05585226792849551,0.005066602549675468,0.0456507775,0.050268054289800204,-0.0027473784999999997,-0.00662933306527503
vf_yaw_ridge_surface,split:diag_validation_only:phase:exit,3181,3,1.0,0.08665455675983384,0.09366375913767713,0.0070092023778432905,-0.08088671432789796,0.08083872540270355,0.08783210047307644,0.006993375070372884,0.087034652,0.09355999156430873,-0.03620564,-0.04444482376606029
vf_yaw_ridge_surface,split:aux_downweighted_validation:all,14448,13,1.0,0.05126637392308136,0.05516394237362499,0.003897568450543634,-0.07602582652698309,0.03305637759772979,0.036782195325941895,0.003725817728212108,0.016359514999999998,0.01969491237456684,-0.0012553224999999999,-0.00550770961003884
vf_yaw_ridge_surface,split:aux_downweighted_validation:phase:entry,2710,13,1.0,0.07408321980038726,0.07891039767680348,0.004827177876416219,-0.06515885634321461,0.05146439698413284,0.05578096042139929,0.004316563437266448,0.027799833,0.03094451649170573,-0.0034258485,-0.008014690033774051
vf_yaw_ridge_surface,split:aux_downweighted_validation:phase:plateau,8708,13,1.0,0.03722139915039368,0.0405901503706061,0.003368751220212421,-0.09050576542275923,0.023270042604501606,0.026631159415471672,0.003361116810970066,0.011437506,0.01404977297363108,-0.000406586,-0.0037903600091387384
vf_yaw_ridge_surface,split:aux_downweighted_validation:phase:exit,3030,13,1.0,0.06034861345329037,0.0648542861955143,0.0045056727422239234,-0.07466075000565331,0.04471765567821782,0.048963240639369326,0.004245584961151509,0.030535899,0.03473971406707572,-0.0065930465,-0.011303732382509616
vf_yaw_ridge_surface,selected:all,36861,9,1.0,0.05167996349438148,0.05367484192752537,0.0019948784331438874,-0.03860061614325194,0.03881901686649847,0.039406215786293865,0.0005871989197953967,0.029755468,0.028177269310026076,0.003129073,0.0004081271922647665
vf_yaw_ridge_surface,selected_run:2026-05-04_20-35-47:all,3456,1,1.0,0.035845955637305665,0.03330092497961428,-0.002545030657691384,0.07099910191940084,0.028876796463541667,0.02660146856354714,-0.0022753278999945274,0.025485003,0.022411538728532972,0.0093600005,0.0069970241302654435
vf_yaw_ridge_surface,selected_run:2026-05-04_20-35-47:phase:entry,765,1,1.0,0.03840614124763392,0.03607512116182155,-0.0023310200858123672,0.06069394138771944,0.031389705568627455,0.028722656531179412,-0.0026670490374480424,0.028145764,0.023922062242156036,0.014645599,0.010675890399051176
vf_yaw_ridge_surface,selected_run:2026-05-04_20-35-47:phase:plateau,1813,1,1.0,0.03335337465933129,0.030642218148080172,-0.002711156511251117,0.08128582306716048,0.026051473639271926,0.023884075816763252,-0.0021673978225086737,0.020885514,0.019328400212892984,0.00733589,0.004662053648499059
vf_yaw_ridge_surface,selected_run:2026-05-04_20-35-47:phase:exit,878,1,1.0,0.038411809214783474,0.03594868690389684,-0.002463122310886634,0.06412408999310182,0.03252136914578588,0.030364480243137672,-0.0021568889026482053,0.031991409,0.029096130788756412,0.0118378625,0.00933933650700363
vf_yaw_ridge_surface,selected_run:2026-05-04_16-57-53:all,1761,1,1.0,0.023277853453219116,0.02274328824342656,-0.0005345652097925556,0.022964540560703184,0.017940518580919933,0.01755377418448469,-0.00038674439643524364,0.013238941,0.013279660893530564,-0.000686103,-0.002133491566269236
vf_yaw_ridge_surface,selected_run:2026-05-04_16-57-53:phase:entry,259,1,1.0,0.02669019182116678,0.02444408054911636,-0.002246111272050419,0.0841549317854332,0.0213292169034749,0.01897814385982932,-0.002351073043645579,0.018361356,0.014654291008357457,-0.002436528,-0.003174002346625858
vf_yaw_ridge_surface,selected_run:2026-05-04_16-57-53:phase:plateau,1096,1,1.0,0.019447746810446295,0.018851006888927244,-0.000596739921519051,0.030684270385426538,0.014593522760036497,0.014345189625330313,-0.0002483331347061836,0.010160928,0.01103286869668016,-0.000234656,-0.001498545183206601
vf_yaw_ridge_surface,selected_run:2026-05-04_16-57-53:phase:exit,406,1,1.0,0.0295777503586754,0.03005163486956936,0.00047388451089396336,-0.016021654965215015,0.0248140027044335,0.02530672229019635,0.0004927195857628505,0.024022324999999997,0.024740648864661853,-0.002697904,-0.00404061316390226
vf_yaw_ridge_surface,selected_run:2026-04-22_12-10-34:all,2187,1,1.0,0.016217132966177106,0.016436745820395417,0.00021961285421831164,-0.013542027106538734,0.013081637973022406,0.013100755976118544,1.911800309613819e-05,0.011327229,0.011455251707974332,-0.003115615,-0.004062254437642343
vf_yaw_ridge_surface,selected_run:2026-04-22_12-10-34:phase:entry,440,1,1.0,0.01590617220595999,0.015871714588332073,-3.4457617627915715e-05,0.0021663048269403573,0.013212232918181818,0.012981318513470438,-0.00023091440471137946,0.011904389000000001,0.011782374025409784,-0.0030940275,-0.004645031495360002
vf_yaw_ridge_surface,selected_run:2026-04-22_12-10-34:phase:plateau,1381,1,1.0,0.01560436010723229,0.01608325673144493,0.0004788966242126394,-0.030689923900864224,0.012653617566256336,0.012831539239013392,0.00017792167275705595,0.011103187,0.011039096288690521,-0.003174829,-0.00371372608139258
vf_yaw_ridge_surface,selected_run:2026-04-22_12-10-34:phase:exit,366,1,1.0,0.01867028512390831,0.018316326909387733,-0.00035395821452057635,0.018958372203288665,0.014539655475409835,0.014260157062204291,-0.000279498413205544,0.012505629,0.011851269643189345,-0.002752572,-0.005526704321303004
vf_yaw_ridge_surface,selected_run:2026-04-22_01-06-32:all,1031,1,1.0,0.04497527944035794,0.04078461236871791,-0.004190667071640029,0.09317712138280998,0.033356145290009694,0.0292868619669343,-0.004069283323075393,0.026813516,0.021731386411664173,0.009991152,0.005699695062782629
vf_yaw_ridge_surface,selected_run:2026-04-22_01-06-32:phase:entry,240,1,1.0,0.037658666881410854,0.034113346597223065,-0.003545320284187789,0.09414354191963803,0.02938572365833333,0.025323395372493222,-0.004062328285840109,0.0265343305,0.020585423305380726,0.009705196,0.004983463305083309
vf_yaw_ridge_surface,selected_run:2026-04-22_01-06-32:phase:plateau,635,1,1.0,0.04136225066822941,0.03709793792394758,-0.00426431274428183,0.1030967289107716,0.030803013325984254,0.026808638890743995,-0.003994374435240259,0.025446906,0.02072190479900259,0.010208854,0.005922806755845242
vf_yaw_ridge_surface,selected_run:2026-04-22_01-06-32:phase:exit,156,1,1.0,0.0649821988886945,0.06000712752200287,-0.004975071366691626,0.07656052660226587,0.049857042653846155,0.045472141685182384,-0.004384900968663771,0.0338099535,0.029936862882123823,0.0083830265,0.006117193416741912
vf_yaw_ridge_surface,selected_run:2026-04-21_05-32-06:all,8880,1,1.0,0.04258417382836225,0.04098185151319363,-0.0016023223151686167,0.0376271786233745,0.036559892826801804,0.03485588800682938,-0.0017040048199724253,0.034704941,0.033365959081989444,0.0121550075,0.009478189834107281
vf_yaw_ridge_surface,selected_run:2026-04-21_05-32-06:phase:entry,1454,1,1.0,0.04715130695517243,0.045163394050268355,-0.0019879129049040767,0.0421602927527337,0.03970754188033012,0.03733170942140852,-0.0023758324589216034,0.037709093,0.03544069978168121,0.0060587535,0.003534948138671146
vf_yaw_ridge_surface,selected_run:2026-04-21_05-32-06:phase:plateau,5405,1,1.0,0.041506384630631964,0.04044482215641451,-0.001061562474217452,0.025575883895077034,0.03627959654412581,0.035277755796770005,-0.001001840747355806,0.034642135,0.03426034017566737,0.015352418,0.012507701267050959
vf_yaw_ridge_surface,selected_run:2026-04-21_05-32-06:phase:exit,2021,1,1.0,0.04196362963145083,0.03920843947677367,-0.0027551901546771645,0.06565662167154884,0.03504495946907472,0.031946417575643274,-0.003098541893431443,0.033172364,0.02852659629488969,0.006846222,0.004531239611639707
vf_yaw_ridge_surface,selected_run:2026-04-21_00-16-10:all,3757,1,1.0,0.039823975586254654,0.037694892268231465,-0.002129083318023188,0.053462349920635366,0.02832533189938781,0.02551610326303996,-0.00280922863634785,0.019252263,0.015940159752845885,0.008941154,0.0009571945027063633
vf_yaw_ridge_surface,selected_run:2026-04-21_00-16-10:phase:entry,974,1,1.0,0.048156574858289905,0.045568873722275624,-0.002587701136014281,0.05373515752789926,0.03637249639938399,0.032182200767034964,-0.004190295632349024,0.028694714,0.02113085871820098,0.013506823000000001,-0.00042973296206945096
vf_yaw_ridge_surface,selected_run:2026-04-21_00-16-10:phase:plateau,1530,1,1.0,0.026408750147834028,0.024992115196574256,-0.0014166349512597723,0.053642635237546865,0.017278139066666667,0.015793684226280122,-0.0014844548403865447,0.011087462999999999,0.010042052439379858,0.002903659,-0.0006509253839995616
vf_yaw_ridge_surface,selected_run:2026-04-21_00-16-10:phase:exit,1253,1,1.0,0.04583702755741638,0.04340054669906068,-0.002436480858355697,0.05315529798051832,0.03555938362410216,0.03220606508055905,-0.0033533185435431073,0.028568378,0.023856195297660834,0.02027721,0.005793893571838859
vf_yaw_ridge_surface,selected_run:2026-04-20_12-10-58:all,2925,1,1.0,0.04035482301988178,0.040327778144144524,-2.704487573725739e-05,0.0006701770374245575,0.027066004325470086,0.026180300077979127,-0.0008857042474909593,0.015359407,0.014333459378264378,0.003674954,-0.0006441561828162902
vf_yaw_ridge_surface,selected_run:2026-04-20_12-10-58:phase:entry,729,1,1.0,0.050611358541933486,0.050190385075179623,-0.0004209734667538628,0.008317766582081942,0.038601788481481485,0.03670321505110268,-0.0018985734303788027,0.02999872,0.025581723860251256,0.007373373,-0.0025160153449337083
