model,forward_velocity_cell_mps,yaw_rate_cell_radps,vbar_rel_cell_mps,median_residual_additive_nm,count
vf_yaw_vbar_kernel_cell_surface,0.5,0.0,0.475,-0.1080965475,26
vf_yaw_vbar_kernel_cell_surface,0.4,-3.0,0.125,0.02533009,8
vf_yaw_vbar_kernel_cell_surface,0.4,-2.5,0.05,-0.022557761,18
vf_yaw_vbar_kernel_cell_surface,0.4,-1.0,0.375,0.07858538949999999,8
vf_yaw_vbar_kernel_cell_surface,0.4,-1.0,0.075,0.03180976,10
vf_yaw_vbar_kernel_cell_surface,0.4,-0.5,0.0,0.0128700675,62
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.675,-0.108483129,15
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.7,-0.10420008650000001,10
vf_yaw_vbar_kernel_cell_surface,0.4,-0.5,0.7,-0.11352061499999999,8
vf_yaw_vbar_kernel_cell_surface,-0.5,0.5,0.0,-0.003587957,24
vf_yaw_vbar_kernel_cell_surface,0.1,-2.5,0.2,0.038043348000000005,8
vf_yaw_vbar_kernel_cell_surface,0.1,-3.5,0.225,0.0416865945,26
vf_yaw_vbar_kernel_cell_surface,0.0,3.5,0.175,-0.0328397395,20
vf_yaw_vbar_kernel_cell_surface,-0.1,3.5,0.2,-0.031644749,14
vf_yaw_vbar_kernel_cell_surface,0.0,4.0,0.2,-0.0338972715,32
vf_yaw_vbar_kernel_cell_surface,0.0,4.0,0.175,-0.0227100285,14
vf_yaw_vbar_kernel_cell_surface,0.1,-3.0,0.2,0.045902077,24
vf_yaw_vbar_kernel_cell_surface,0.0,6.5,0.3,-0.031990884,11
vf_yaw_vbar_kernel_cell_surface,0.0,6.0,0.1,0.021575656999999998,8
vf_yaw_vbar_kernel_cell_surface,0.1,9.5,0.15,0.022632602,11
vf_yaw_vbar_kernel_cell_surface,0.1,-3.5,0.25,0.040230535,11
vf_yaw_vbar_kernel_cell_surface,0.0,-3.5,0.2,0.047192018,29
vf_yaw_vbar_kernel_cell_surface,0.0,-3.5,0.175,0.042605073,9
vf_yaw_vbar_kernel_cell_surface,0.4,0.5,0.15,0.018628646,8
vf_yaw_vbar_kernel_cell_surface,0.3,-0.5,0.05,-0.059059162,9
