variant,k1,k2,k3_radps,stribeck_speed_mps,speed_fade_mps,rel_weight,load_exponent,sliding_nm,static_extra_nm,train_weighted_rmse_nm,primary_rmse_nm,validation_rmse_nm,launch_extra_nm,launch_left_command,launch_right_command,launch_max_abs_command,passes_abs_0p6_gate,score
standard,0.024347842287425887,0.07815982342197703,0.35078691105292004,0.01923384403035459,0.9087322052387627,0.19181310706049848,0.5,0.0,0.06696607309038438,0.002962359885759592,0.038230212368192615,0.0686853598047758,0.06554714328880416,0.6458778048657502,-0.6458778048657502,0.6458778048657502,True,0.002962359885759592
standard,0.3433997766174221,1.9401286578512655,0.36393520429254766,0.020619233585982506,0.12074212625102658,0.19854922021497243,0.5,0.0,0.06690849585561208,0.002964212400688068,0.0382534034186042,0.0688232136426249,0.06554686459825375,0.645876171621929,-0.645876171621929,0.645876171621929,True,0.002964212400688068
standard,0.030954986050189794,0.16113063133086206,0.02084941241121412,0.01802874051866451,0.1736940107762113,0.05326009296047192,0.5,0.0,0.06567337151997894,0.0029648502493333966,0.038308008130320925,0.06914147088642338,0.06554757274825442,0.6458803216787263,-0.6458803216787263,0.6458803216787263,True,0.0029648502493333966
standard,0.161789606336862,0.6933370207594246,0.064513524573751,0.012924781877041411,1.845228584166001,0.4758522969665772,1.0,0.0,0.08487940354983273,0.0029660774714309786,0.03841959102305763,0.06835791941713125,0.06554780805742719,0.6458817006894318,-0.6458817006894318,0.6458817006894318,True,0.0029660774714309786
standard,0.3690318012664147,2.15397142066111,0.11375554938667862,0.01998059365331067,0.44762734397298604,0.3921286800096783,0.75,0.0,0.07105045620662719,0.0029681427961237685,0.03836313175488431,0.06820319078962857,0.06554608122295039,0.6458715807132238,-0.6458715807132238,0.6458715807132238,True,0.0029681427961237685
standard,0.07056659018556266,0.1058285324925066,0.08668143679968084,0.019167332887418793,0.15526504604013738,0.42122640278449014,0.75,0.0,0.07254948589299642,0.002968678883172912,0.0384059306836516,0.06800335750611487,0.06554633785133257,0.6458730846634617,-0.6458730846634617,0.6458730846634617,True,0.002968678883172912
standard,0.09704385046306221,0.21468146347068828,0.09323970704443525,0.018839120731157843,0.3564407799083796,0.42479867383110986,0.75,0.0,0.07281934646162509,0.0029694076965921154,0.038404810127631264,0.06807345071296333,0.06554620626947534,0.6458723135384451,-0.6458723135384451,0.6458723135384451,True,0.0029694076965921154
standard,0.07389252181113098,0.5189494601363707,0.016662914743701095,0.016911479657272837,1.9576970852888578,0.4440571672083478,0.25,0.0,0.07537971652546811,0.0029699117423455297,0.038353665808646166,0.06805552823626455,0.06554670148769824,0.645875215725482,-0.645875215725482,0.645875215725482,True,0.0029699117423455297
standard,0.015773443019816997,0.04715202250855732,0.017809095578467216,0.015493222305992014,1.3072787205726752,0.4829816738638228,0.75,0.0,0.07940762686160256,0.0029699213442230046,0.03843782313409698,0.06819477842165429,0.06554685039778244,0.6458760884011955,-0.6458760884011955,0.6458760884011955,True,0.0029699213442230046
standard,0.034732004194494535,1.5577887029160566,0.008934041937462688,0.019582226842007014,0.2553386397031569,0.42548170579469996,1.0,0.0,0.07232183913378697,0.002971329053561654,0.03846279005630787,0.06811966995899833,0.06554582519688369,0.645870080292808,-0.645870080292808,0.645870080292808,True,0.002971329053561654
standard,0.8812991565046506,1.4836471742248278,0.3579447870122626,0.020642251433690383,0.726946359687811,0.14363999096970106,0.25,0.0,0.06623721465889315,0.0029713931057504164,0.03825037497507182,0.06947961637000602,0.06554614546148367,0.6458719571780427,-0.6458719571780427,0.6458719571780427,True,0.0029713931057504164
standard,0.16949725087423861,0.21000279551400183,0.01765300761896729,0.020697250070693837,0.12143683095840624,0.31381792556377636,0.25,0.0,0.06892451329907882,0.0029714158628734236,0.03832143132383299,0.06841376492086201,0.06554612270868641,0.6458718238370827,-0.6458718238370827,0.6458718238370827,True,0.0029714158628734236
latest_weighted,0.7204235550868902,0.791926161680015,0.026871466216220854,0.010440347893586322,0.43333981349631673,0.03388860001664056,0.75,0.0,0.0656660683262679,0.0034501097671892915,0.037626068353603305,0.06562287424359396,0.06551580257179787,0.6456941350845974,-0.6456941350845974,0.6456941350845974,True,0.0034501097671892915
latest_weighted,0.3757770849429084,1.280373277250943,0.011429843777412357,0.010246348427229903,0.6381489103394051,0.07585176939288332,0.5,0.0,0.06629715987600925,0.0034503965177634186,0.037538811864424794,0.06523445258409317,0.06551582585167672,0.645694271514477,-0.645694271514477,0.645694271514477,True,0.0034503965177634186
