dataset_split,physics_phase,feature,count,winsorized_run_balanced_corr_to_residual_opposes_yaw
open_floor_fit_downweighted,exit,patch_yaw_req_basis_nm,8173,0.6884782739736411
open_floor_fit_downweighted,exit,patch_yaw_velocity_basis_m2ps,8173,0.5742095532043212
open_floor_fit_downweighted,exit,phase_entry,8173,0.0
open_floor_fit_downweighted,exit,phase_exit,8173,0.0
open_floor_fit_downweighted,exit,phase_progress,8173,0.025815481704836742
open_floor_fit_downweighted,exit,vbar_rel_mps,8173,-0.14043081968471569
open_floor_fit_downweighted,exit,vbar_yaw_mps,8173,-0.01635640982237427
open_floor_validation_only,all,abs_measured_yaw_accel_radps2,14542,0.14038407967508454
open_floor_validation_only,all,abs_yaw_rate_radps,14542,-0.08149845606647096
open_floor_validation_only,all,avg_abs_vrel_f_mps,14542,-0.06321045748764939
open_floor_validation_only,all,avg_abs_vrel_r_mps,14542,-0.08149845504241951
open_floor_validation_only,all,current_proxy_abs_raw_over_unit_command_prior,14542,0.3536175989645265
open_floor_validation_only,all,front_rear_normal_delta_n,14542,0.0
open_floor_validation_only,all,front_rear_vrel_f_abs_delta_mps,14542,0.0
open_floor_validation_only,all,front_rear_vrel_r_abs_delta_mps,14542,0.0
open_floor_validation_only,all,gyro_derivative_spike,14542,0.0
open_floor_validation_only,all,hardware_saturation_evidence,14542,0.0
open_floor_validation_only,all,left_right_drive_force_delta_n,14542,0.20918030081327157
open_floor_validation_only,all,left_right_normal_delta_n,14542,0.0
open_floor_validation_only,all,left_right_vrel_f_abs_delta_mps,14542,0.0
open_floor_validation_only,all,left_right_vrel_r_abs_delta_mps,14542,0.0
open_floor_validation_only,all,max_force_limiter_activity,14542,0.0
open_floor_validation_only,all,max_force_preprojection_utilization,14542,0.20531806223844615
open_floor_validation_only,all,patch_yaw_abs_velocity_basis_m2ps,14542,-0.06703813177028675
open_floor_validation_only,all,patch_yaw_force_basis_nm,14542,0.8564583240926912
open_floor_validation_only,all,patch_yaw_req_basis_nm,14542,0.8541127845113091
open_floor_validation_only,all,patch_yaw_velocity_basis_m2ps,14542,0.18916989226970518
open_floor_validation_only,all,phase_entry,14542,0.002222055748317233
open_floor_validation_only,all,phase_exit,14542,-0.00974029078906968
open_floor_validation_only,all,phase_progress,14542,-0.045915447029994005
open_floor_validation_only,all,vbar_rel_mps,14542,-0.05246365763867171
open_floor_validation_only,all,vbar_yaw_mps,14542,-0.0814984572523733
open_floor_validation_only,entry,abs_measured_yaw_accel_radps2,2104,0.12696137977362623
open_floor_validation_only,entry,abs_yaw_rate_radps,2104,0.10907243838286634
open_floor_validation_only,entry,avg_abs_vrel_f_mps,2104,0.02795570855763815
open_floor_validation_only,entry,avg_abs_vrel_r_mps,2104,0.10907244162903967
open_floor_validation_only,entry,current_proxy_abs_raw_over_unit_command_prior,2104,0.34474644877616734
open_floor_validation_only,entry,front_rear_normal_delta_n,2104,0.0
open_floor_validation_only,entry,front_rear_vrel_f_abs_delta_mps,2104,0.0
open_floor_validation_only,entry,front_rear_vrel_r_abs_delta_mps,2104,0.0
open_floor_validation_only,entry,gyro_derivative_spike,2104,0.0
open_floor_validation_only,entry,hardware_saturation_evidence,2104,0.0
