candidate_id,model,policy,state,count,mean,rms,median,p95,max
skew_shear,skew_shear,testbed_independent,heading_rad,30523,1.1344995567969868e-15,1.1344995567969868e-15,1.1344995567969868e-15,1.1344995567969868e-15,1.1344995567969868e-15
skew_shear,skew_shear,testbed_independent,vf_mps,30523,6.253928333711494e-12,6.253928333711494e-12,6.253928333711494e-12,6.253928333711494e-12,6.253928333711494e-12
skew_shear,skew_shear,testbed_independent,vr_mps,30523,6.3711629076237844e-55,6.3711629076237844e-55,6.3711629076237844e-55,6.3711629076237844e-55,6.3711629076237844e-55
skew_shear,skew_shear,testbed_independent,yaw_rate_radps,30523,4.535182880105492e-09,4.535182880105492e-09,4.535182880105492e-09,4.535182880105492e-09,4.535182880105492e-09
skew_shear,skew_shear,testbed_independent,delta_af_mps2,30523,0.0,0.0,0.0,0.0,0.0
skew_shear,skew_shear,testbed_independent,delta_ar_mps2,30523,0.0,0.0,0.0,0.0,0.0
skew_shear,skew_shear,testbed_independent,delta_yaw_accel_radps2,30523,0.0,0.0,0.0,0.0,0.0
skew_shear,skew_shear,testbed_independent,q_trace,30523,4.541437944503181e-09,4.541437944503181e-09,4.541437944503181e-09,4.541437944503181e-09,4.541437944503181e-09
skew_shear,skew_shear,testbed_independent,q_frobenius,30523,4.5351883266263965e-09,4.5351883266263965e-09,4.5351883266263965e-09,4.5351883266263965e-09,4.5351883266263965e-09
skew_shear,skew_shear,production_correlated,px_m,30523,0.0,0.0,0.0,0.0,0.0
skew_shear,skew_shear,production_correlated,py_m,30523,6.536503431682739e-14,6.536503431682739e-14,6.536503431682739e-14,6.536503431682739e-14,6.536503431682739e-14
skew_shear,skew_shear,production_correlated,heading_rad,30523,2.341196387091295e-12,2.341196387091295e-12,2.341196387091295e-12,2.341196387091295e-12,2.341196387091295e-12
skew_shear,skew_shear,production_correlated,vf_mps,30523,2.48225705946862e-07,2.48225705946862e-07,2.48225705946862e-07,2.48225705946862e-07,2.48225705946862e-07
skew_shear,skew_shear,production_correlated,vr_mps,30523,5.8678810624264955e-46,5.8678810624264955e-46,5.8678810624264955e-46,5.8678810624264955e-46,5.8678810624264955e-46
skew_shear,skew_shear,production_correlated,yaw_rate_radps,30523,8.874936766776695e-06,8.874936766776695e-06,8.874936766776695e-06,8.874936766776695e-06,8.874936766776695e-06
skew_shear,skew_shear,production_correlated,delta_af_mps2,30523,0.0,0.0,0.0,0.0,0.0
skew_shear,skew_shear,production_correlated,delta_ar_mps2,30523,0.0,0.0,0.0,0.0,0.0
skew_shear,skew_shear,production_correlated,delta_yaw_accel_radps2,30523,0.0,0.0,0.0,0.0,0.0
skew_shear,skew_shear,production_correlated,q_trace,30523,9.123164879284978e-06,9.123164879284978e-06,9.123164879284978e-06,9.123164879284978e-06,9.123164879284978e-06
skew_shear,skew_shear,production_correlated,q_frobenius,30523,8.87840977899609e-06,8.87840977899609e-06,8.87840977899609e-06,8.87840977899609e-06,8.87840977899609e-06
baseline,current_holdover_approximation,testbed_independent,px_m,30523,0.0,0.0,0.0,0.0,0.0
baseline,current_holdover_approximation,testbed_independent,py_m,30523,1.3479635285766967e-19,1.3479635285766967e-19,1.3479635285766967e-19,1.3479635285766967e-19,1.3479635285766967e-19
baseline,current_holdover_approximation,testbed_independent,heading_rad,30523,9.775272149452842e-17,9.775272149452842e-17,9.775272149452842e-17,9.775272149452842e-17,9.775272149452842e-17
baseline,current_holdover_approximation,testbed_independent,vf_mps,30523,5.391854114667355e-13,5.391854114667355e-13,5.391854114667355e-13,5.391854114667355e-13,5.391854114667355e-13
baseline,current_holdover_approximation,testbed_independent,vr_mps,30523,2.7945168998791125e-56,2.7945168998791125e-56,2.7945168998791125e-56,2.7945168998791125e-56,2.7945168998791125e-56
baseline,current_holdover_approximation,testbed_independent,yaw_rate_radps,30523,3.9100865695247317e-10,3.9100865695247317e-10,3.9100865695247317e-10,3.9100865695247317e-10,3.9100865695247317e-10
baseline,current_holdover_approximation,testbed_independent,delta_af_mps2,30523,0.0,0.0,0.0,0.0,0.0
baseline,current_holdover_approximation,testbed_independent,delta_ar_mps2,30523,0.0,0.0,0.0,0.0,0.0
baseline,current_holdover_approximation,testbed_independent,delta_yaw_accel_radps2,30523,0.0,0.0,0.0,0.0,0.0
baseline,current_holdover_approximation,testbed_independent,q_trace,30523,3.9154794025145777e-10,3.9154794025145777e-10,3.9154794025145777e-10,3.9154794025145777e-10,3.9154794025145777e-10
