role,activation_source,yield_geometry,equivalent_activation_nm,utilization_activation,stribeck_speed_mps,speed_fade_mps,rel_weight,static_extra_nm,sliding_nm,weighted_train_opposes_rmse_nm,primary_corrected_rmse_nm,open_floor_validation_corrected_rmse_nm,in_place_left_command,in_place_right_command,in_place_extra_opposing_yaw_torque_nm
grid_top,request_moment_utilization,longitudinal_moment_support,0.05,0.45057586275507244,0.025,0.64,0.75,0.007042940642606129,0.08212590591554332,0.02439867223326985,0.028572931378239182,0.01149686297922929,0.7682697477852529,-0.7682697477852529,0.0864316416685143
grid_top,request_moment_utilization,full_yaw_moment_support,0.05,0.4254710651239613,0.025,0.64,0.75,0.007042940642606122,0.08212590591554332,0.02439867223326985,0.028572931378239182,0.01149686297922929,0.7682697477852529,-0.7682697477852529,0.08643164166851429
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.08,0.7209213804081159,0.1,0.64,1.25,0.0004849946659385746,0.15688237281674838,0.024403582079304643,0.027918172073396252,0.01184660304345425,1.0485932738831152,-1.0485932738831152,0.13426498826744765
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.08,0.6807537041983381,0.1,0.64,1.25,0.00048499466593848647,0.15688237281674844,0.024403582079304643,0.027918172073396252,0.01184660304345425,1.076635696565125,-1.076635696565125,0.13905004124639053
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.08,0.7209213804081159,0.025,0.64,1.25,0.0,0.15709527608933968,0.024403592575966845,0.02791731855594283,0.011847132200162267,1.0473137143363787,-1.0473137143363787,0.13404664906436678
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.08,0.7209213804081159,0.05,0.64,1.25,0.0,0.15709527608933968,0.024403592575966845,0.02791731855594283,0.011847132200162267,1.0473137143363787,-1.0473137143363787,0.13404664906436678
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.08,0.6807537041983381,0.025,0.64,1.25,0.0,0.15709527608933968,0.024403592575966845,0.02791731855594283,0.011847132200162267,1.0753105349571226,-1.0753105349571226,0.13882392067999522
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.08,0.6807537041983381,0.05,0.64,1.25,0.0,0.15709527608933968,0.024403592575966845,0.02791731855594283,0.011847132200162267,1.0753105349571226,-1.0753105349571226,0.13882392067999522
grid_top,request_moment_utilization,longitudinal_moment_support,0.05,0.45057586275507244,0.1,0.64,1.25,0.008795474881270256,0.08226909672784405,0.02441501726224663,0.028426310971672964,0.011513016789389704,0.7864192448709733,-0.7864192448709733,0.08952860322854589
grid_top,request_moment_utilization,full_yaw_moment_support,0.05,0.4254710651239613,0.1,0.64,1.25,0.00879547488127023,0.08226909672784406,0.02441501726224663,0.028426310971672964,0.011513016789389704,0.7864192448709731,-0.7864192448709731,0.08952860322854586
grid_top,request_moment_utilization,longitudinal_moment_support,0.05,0.45057586275507244,0.05,0.64,1.25,0.0055754769414504465,0.08483198044689831,0.024423027935591857,0.028462853783325186,0.011501579960197541,0.7795305340665166,-0.7795305340665166,0.08835313966287155
grid_top,request_moment_utilization,full_yaw_moment_support,0.05,0.4254710651239613,0.05,0.64,1.25,0.005575476941450442,0.08483198044689833,0.024423027935591857,0.028462853783325186,0.011501579960197541,0.7795305340665166,-0.7795305340665166,0.08835313966287155
grid_top,request_moment_utilization,longitudinal_moment_support,0.05,0.45057586275507244,0.025,0.64,1.25,0.0007499520970683937,0.08601988679549935,0.024426415362889566,0.028481087823103633,0.011503462287157287,0.7583656768420219,-0.7583656768420219,0.08474164844974105
grid_top,request_moment_utilization,full_yaw_moment_support,0.05,0.4254710651239613,0.025,0.64,1.25,0.0007499520970683868,0.08601988679549934,0.024426415362889566,0.028481087823103633,0.011503462287157287,0.7583656768420218,-0.7583656768420218,0.08474164844974102
grid_top,request_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.025,0.64,1.25,0.0,0.06542978261294645,0.02443019194307672,0.02857496397566251,0.011371849993664402,0.6427575885198568,-0.6427575885198568,0.06501472136898043
grid_top,request_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.05,0.64,1.25,0.0,0.06542978261294645,0.02443019194307672,0.02857496397566251,0.011371849993664402,0.6427575885198568,-0.6427575885198568,0.06501472136898043
grid_top,request_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.1,0.64,1.25,0.0,0.06542978261294645,0.02443019194307672,0.02857496397566251,0.011371849993664402,0.6427575885198568,-0.6427575885198568,0.06501472136898043
grid_top,request_moment_utilization,full_yaw_moment_support,0.035,0.29782974558677294,0.025,0.64,1.25,0.0,0.06542978261294645,0.02443019194307672,0.02857496397566251,0.011371849993664404,0.6427575885198568,-0.6427575885198568,0.06501472136898043
