model,physical_yaw_loss,dataset_split,physics_phase,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_delta_nm,rmse_delta_fraction,mae_delta_fraction,worsened_abs_residual_fraction,negative_opposes_target_fraction,mean_abs_forward_mps,mean_abs_yaw_radps,mean_vbar_rel_mps,limiter_activity_fraction,saturation_evidence_fraction
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,primary_open_floor_fit_authoritative,all,47317,15,0.036866176895009706,0.03656154789066484,0.02548019573643722,0.025386880644602983,0.016044602,0.016027861135815124,0.001648731,0.0021793754628688755,-0.00030462900434486545,-0.008263102659448851,-0.003662259615250796,0.49960902001394847,0.4399264534945157,0.15498930087156837,1.1536885722850985,0.06434694058900606,0.22560601897837987,0.02660777310480377
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,primary_open_floor_fit_authoritative,entry,9719,15,0.045837011822076036,0.04550433320271204,0.033563032683506536,0.03323039417347626,0.024289024,0.0230272384960043,0.002079796,0.0022133823843441345,-0.00033267861936399357,-0.007257860103432101,-0.009910859759515778,0.48142813046609734,0.43492128819837433,0.1725330480034983,2.0897999453165963,0.11807413750005144,0.4275131186336043,0.0772713242103097
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,primary_open_floor_fit_authoritative,plateau,26778,15,0.02877127129678063,0.02846287805222634,0.01901283047434461,0.0190753577904174,0.011055656,0.01138059364515965,0.001152246,0.001712639989054138,-0.00030839324455429057,-0.010718791025018048,0.0032886905585762793,0.5162820225558294,0.44316229740832025,0.15072555894585107,0.34914718978336695,0.027642599578683993,0.06419448801254761,0.005377548734035402
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,primary_open_floor_fit_authoritative,exit,10820,15,0.044806900200245255,0.04450637950793025,0.03422566844436229,0.033961635820412804,0.0273970075,0.02679112902795798,0.004929683,0.005237383030578894,-0.0003005206923150025,-0.006707018137205534,-0.007714462155171686,0.47467652495378926,0.43641404805914974,0.14978290557689464,2.3039605414291127,0.1069249643224584,0.44371534195933454,0.03364140480591497
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,open_floor_fit_downweighted,all,31165,9,0.043194073119807955,0.043678248077316295,0.027849684910123535,0.02869469588173611,0.013314394,0.014912698395065288,0.000637863,0.000779526,0.0004841749575083404,0.011209291519356679,0.030341850341919274,0.6205037702550938,0.5634205037702551,0.14014116558347503,1.0892859061414728,0.10936460570707525,0.3940959409594096,0.11933258463019412
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,open_floor_fit_downweighted,entry,8341,9,0.05617769021464853,0.05688386550512801,0.04154216224553411,0.042215227560191894,0.030788281,0.03067055746121171,0.001756669,0.0017429776970949889,0.0007061752904794771,0.01257038671012034,0.01620198078953261,0.6362546457259322,0.607720896774967,0.14753458239287853,1.740586256748831,0.1659548515026975,0.6568756743795708,0.21292410981896656
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,open_floor_fit_downweighted,plateau,14651,9,0.024365235700422493,0.02457521986726377,0.013101952217527814,0.014158574928272704,0.005601714,0.007670592183947536,0.000276839,0.00034746620207377356,0.00020998416684127677,0.008618187380704745,0.0806462039551128,0.6129956999522217,0.5209883284417446,0.130458483794212,0.35834077538243125,0.03299810333397038,0.09637567401542557,0.021705003071462697
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,open_floor_fit_downweighted,exit,8173,9,0.053191308370772995,0.05375683921649692,0.04031268236816346,0.04095383614347507,0.031938671,0.031993274341559144,0.002346486,0.00260210850051371,0.000565530845723923,0.010632016076421058,0.015904517825337194,0.6178881683592317,0.594273828459562,0.1499530438763,1.7348971732814145,0.18850646133989968,0.6596109139850728,0.19882540070965374
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,open_floor_validation_only,all,14542,9,0.016930709100069437,0.018683138085559565,0.010368821404827396,0.01216620869030451,0.005201232,0.00736284773332576,-0.000858939,-0.0005555719275679562,0.0017524289854901273,0.10350594148965331,0.1733453798944118,0.6008114427176454,0.49546142208774585,0.06525636914674735,0.1009015616793426,0.005613574213450694,0.0037821482602118004,0.0026818869481501856
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,open_floor_validation_only,entry,2104,9,0.022224834525144614,0.024317906096648852,0.014874971672053231,0.017578515966716536,0.008434416,0.012555686786970492,-0.0029512495,-0.0026866892097844076,0.002093071571504238,0.09417714985172054,0.1817512230791447,0.6140684410646388,0.498574144486692,0.07493181464591255,0.18615188961739546,0.010074947466730037,0.009980988593155894,0.006178707224334601
